ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,ret_from_break_pct,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,nh_break_events,nh_lookback_n,recent_5d_growth
TLTE,20240126,20260418,20260331,67.21,74.55,10.92,10.92,13,65.04,14.62,0.52,8.21,0.0,0.0,2.57,10,2,5.0,11.54,1.02,12.55,1,60,3.8
SFNC,20240126,20260418,20260331,19.45,21.52,10.64,10.64,13,18.82,14.35,2.16,5.76,0.0,0.0,2.16,8,4,2.0,13.62,3.25,16.87,0,60,4.31
DBEF,20240126,20260418,20260331,49.4,52.4,6.07,6.07,13,48.65,7.71,1.5,5.36,0.0,0.0,1.91,7,5,1.4,7.61,1.64,9.25,0,60,1.28
OR,20240126,20260418,20260331,38.02,42.62,12.1,12.1,13,35.21,21.05,5.52,5.5,0.0,0.0,2.75,9,3,3.0,14.9,3.19,18.09,0,60,7.98
DGT,20240126,20260418,20260331,169.55,180.03,6.18,6.18,13,167.45,7.51,1.17,4.94,0.0,0.0,1.72,9,3,3.0,6.54,0.49,7.03,0,60,1.53
XLI,20240126,20260418,20260331,161.73,173.51,7.28,7.28,13,157.98,9.83,1.58,7.18,0.0,0.0,2.47,7,5,1.4,9.89,2.74,12.63,0,60,0.45
HPE,20240126,20260418,20260331,23.81,26.44,11.05,11.05,13,24.17,9.39,3.44,2.77,0.0,0.0,1.52,8,4,2.0,13.1,2.41,15.52,1,60,6.57
SPG,20240126,20260418,20260331,186.53,206.23,10.56,10.56,13,183.97,12.1,2.17,8.81,0.0,0.0,3.08,10,2,5.0,10.93,0.79,11.72,1,60,2.75
NIO,20240126,20260418,20260331,6.03,6.83,13.27,13.27,13,5.14,32.88,1.82,9.12,0.0,0.0,3.1,6,6,1.0,23.97,10.74,34.71,7,60,5.56
MTB+,20240126,20260418,20260331,206.72,218.79,5.84,5.84,13,204.04,7.23,2.61,6.67,0.0,0.0,2.52,8,4,2.0,9.13,3.34,12.47,0,60,-1.13
FBP,20240126,20260418,20260331,21.36,23.23,8.75,8.75,13,20.9,11.15,1.92,6.55,0.0,0.0,2.35,8,4,2.0,11.9,3.36,15.26,1,60,1.84
COPX,20240126,20260418,20260331,76.35,87.19,14.2,14.2,13,73.06,19.34,0.51,13.2,0.0,0.0,4.06,8,4,2.0,16.42,2.81,19.23,0,60,2.73
KGC,20240126,20260418,20260331,30.52,34.94,14.48,14.48,13,28.3,23.46,3.6,11.44,0.0,0.0,4.15,7,5,1.4,19.1,5.21,24.31,0,60,4.05
FEP,20240126,20260418,20260331,54.61,58.74,7.56,7.56,13,54.39,8.0,1.59,7.27,0.0,0.0,2.5,8,4,2.0,8.82,1.44,10.27,0,60,0.75
DAL,20240126,20260418,20260331,66.48,71.72,7.88,7.88,13,69.06,3.85,-1.29,7.85,0.0,0.0,2.1,6,6,1.0,15.42,7.41,22.84,0,60,6.96
EELV,20240126,20260418,20260331,28.08,29.6,5.41,5.41,13,27.6,7.25,0.11,4.24,0.0,0.0,1.29,9,3,3.0,6.11,0.8,6.91,0,60,1.44
JHMM,20240126,20260418,20260331,67.12,71.98,7.24,7.24,13,66.37,8.45,1.22,5.39,0.0,0.0,1.86,9,3,3.0,8.02,0.96,8.97,1,60,2.26
FTV,20240126,20260418,20260331,55.28,60.52,9.48,9.48,13,55.39,9.26,2.88,8.01,0.0,0.0,2.98,9,3,3.0,13.13,3.86,16.98,0,60,1.17
PLD,20240126,20260418,20260331,132.18,145.1,9.77,9.77,13,129.05,12.44,0.79,4.68,0.0,0.0,1.56,9,3,3.0,11.13,1.69,12.82,2,60,5.8
EQLT,20240126,20260418,20260331,31.83,36.38,14.29,14.29,12,31.26,16.38,7.26,10.93,0.0,0.0,4.73,9,2,4.5,14.04,0.44,14.48,3,60,5.57
VIOO,20240126,20260418,20260331,114.83,122.62,6.78,6.78,12,112.08,9.4,1.79,6.56,0.0,0.0,2.33,9,2,4.5,7.14,0.53,7.67,0,60,1.91
GILT,20240126,20260418,20260331,15.02,19.17,27.63,27.63,13,13.41,42.95,22.7,24.7,0.0,0.0,11.95,9,3,3.0,32.36,7.12,39.48,0,60,4.87
TECK,20240126,20260418,20260331,51.75,59.38,14.74,14.74,13,48.03,23.63,1.53,13.8,0.0,0.0,4.45,7,5,1.4,19.0,4.87,23.87,0,60,3.45
FNDB,20240126,20260418,20260331,27.2,28.79,5.85,5.85,13,26.79,7.47,1.07,4.19,0.0,0.0,1.47,11,1,11.0,6.32,0.6,6.92,1,60,1.95
EWC,20240126,20260418,20260331,54.79,58.52,6.81,6.81,13,54.19,7.99,1.7,5.31,0.0,0.0,1.93,10,2,5.0,7.06,0.44,7.5,0,60,2.2
VPL,20240126,20260418,20260331,97.73,105.85,8.31,8.31,12,91.8,15.31,1.89,8.4,0.0,0.0,2.9,7,4,1.75,10.89,2.72,13.61,0,60,1.83
VTWV,20240126,20260418,20260331,167.22,182.05,8.87,8.87,13,161.11,13.0,1.9,6.51,0.0,0.0,2.33,10,2,5.0,8.9,0.33,9.23,2,60,2.78
LABU,20240126,20260418,20260331,166.09,210.82,26.93,26.93,13,157.5,33.85,2.59,19.1,0.0,0.0,6.25,8,4,2.0,33.08,8.17,41.26,3,60,15.39
IHD,20240126,20260418,20260331,6.66,7.24,8.71,8.71,13,6.39,13.3,0.0,7.66,0.0,0.0,2.3,7,4,1.75,10.55,2.03,12.58,1,60,3.28
IVLU,20240126,20260418,20260331,39.68,42.13,6.17,6.17,13,38.51,9.4,1.36,5.9,0.0,0.0,2.04,7,5,1.4,7.88,1.79,9.67,0,60,0.77
ST,20240126,20260418,20260331,35.22,38.66,9.77,9.77,12,34.89,10.81,-0.65,11.7,0.0,0.0,3.38,7,4,1.75,13.1,3.47,16.57,3,60,-0.74
RING,20240126,20260418,20260331,78.98,86.77,9.86,9.86,13,73.56,17.96,3.39,10.37,0.0,0.0,3.79,7,5,1.4,15.85,6.13,21.99,0,60,1.6
JHMD,20240126,20260418,20260331,42.37,45.41,7.17,7.17,13,41.9,8.38,1.27,6.3,0.0,0.0,2.14,8,4,2.0,8.37,1.35,9.73,0,60,1.36
PNC+,20240126,20260418,20260331,208.09,224.81,8.03,8.03,13,211.46,6.31,2.8,6.3,0.0,0.0,2.45,9,3,3.0,10.48,2.64,13.12,0,60,0.81
RZV,20240126,20260418,20260331,124.4,135.45,8.88,8.88,13,119.79,13.07,0.76,5.8,0.0,0.0,1.89,9,3,3.0,9.19,0.61,9.8,0,60,3.47
DUSA,20240126,20260418,20260331,50.74,54.08,6.58,6.58,13,51.25,5.52,1.68,4.99,0.0,0.0,1.83,11,1,11.0,6.59,0.19,6.78,0,60,1.83
HBM+,20240126,20260418,20260331,20.9,25.88,23.83,23.83,13,20.1,28.76,4.5,20.67,0.0,0.0,7.1,9,3,3.0,26.39,4.29,30.68,0,60,6.02
GOEX,20240126,20260418,20260331,84.63,93.42,10.39,10.39,13,79.94,16.86,3.89,10.1,0.0,0.0,3.81,10,2,5.0,15.93,5.72,21.65,0,60,2.01
SMH,20240126,20260418,20260331,383.4,454.8,18.62,18.62,12,373.3,21.83,4.3,17.89,0.0,0.0,6.23,11,0,9999.99,17.33,0.0,17.33,6,60,4.1
PTF,20240126,20260418,20260331,86.33,106.38,23.22,23.22,13,79.01,34.64,7.8,17.57,0.0,0.0,6.83,11,1,11.0,21.6,0.36,21.97,7,60,5.17
NTRS,20240126,20260418,20260331,139.57,159.16,14.04,14.04,13,139.28,14.27,4.34,11.64,0.0,0.0,4.36,11,1,11.0,13.54,0.26,13.8,2,60,3.36
EIS,20240126,20260418,20260331,116.04,129.81,11.87,11.87,13,112.0,15.9,2.01,9.74,0.0,0.0,3.32,9,3,3.0,13.2,1.83,15.04,2,60,3.8
VSH,20240126,20260418,20260331,18.0,26.25,45.83,45.83,12,15.29,71.68,5.44,28.5,0.0,0.0,9.64,11,0,9999.99,38.86,0.0,38.86,5,60,16.82
XTN,20240126,20260418,20260331,93.0,113.47,22.01,22.01,13,92.71,22.39,5.17,15.0,0.0,0.0,5.53,10,2,5.0,21.49,1.3,22.79,3,60,9.13
IQLT,20240126,20260418,20260331,46.23,49.68,7.46,7.46,13,45.93,8.16,1.17,6.73,0.0,0.0,2.25,7,5,1.4,8.79,1.5,10.28,1,60,1.6
CFG,20240126,20260418,20260331,59.97,64.45,7.47,7.47,13,59.39,8.52,2.72,8.17,0.0,0.0,3.0,10,2,5.0,9.74,2.43,12.17,0,60,-0.48
SMMT,20240126,20260418,20260331,18.96,25.15,32.65,32.65,13,17.52,43.55,1.37,9.97,0.0,0.0,3.26,9,3,3.0,35.62,5.9,41.53,5,60,25.56
RFEM,20240126,20260418,20260331,82.16,90.87,10.6,10.6,13,80.52,12.85,1.1,7.87,0.0,0.0,2.58,11,1,11.0,10.54,0.34,10.88,1,60,3.91
GWX,20240126,20260418,20260331,42.23,46.04,9.02,9.02,13,41.24,11.64,0.9,7.32,0.0,0.0,2.38,8,4,2.0,10.7,1.93,12.64,0,60,2.91
DEUS,20240126,20260418,20260331,59.89,62.9,5.03,5.03,13,58.58,7.37,1.39,3.99,0.0,0.0,1.48,10,2,5.0,6.31,1.37,7.68,0,60,1.37
DIM,20240126,20260418,20260331,82.83,88.35,6.66,6.66,13,81.09,8.95,2.31,6.28,0.0,0.0,2.35,9,3,3.0,7.54,1.03,8.57,0,60,0.94
PRTA,20240126,20260418,20260331,9.72,10.9,12.14,12.14,13,9.2,18.48,6.58,9.16,0.0,0.0,4.06,7,5,1.4,19.5,7.69,27.19,4,60,5.72
RFG,20240126,20260418,20260331,54.81,60.12,9.69,9.69,13,53.44,12.5,1.82,7.39,0.0,0.0,2.58,9,3,3.0,9.57,0.22,9.79,3,60,2.79
ISRA,20240126,20260418,20260331,60.46,66.84,10.55,10.55,13,59.59,12.17,1.65,8.57,0.0,0.0,2.9,9,3,3.0,11.44,1.3,12.74,3,60,3.44
AIT,20240126,20260418,20260331,265.32,291.03,9.69,9.69,13,259.63,12.09,2.72,10.06,0.0,0.0,3.56,8,4,2.0,13.28,3.87,17.15,0,60,-0.76
MXL,20240126,20260418,20260331,17.39,26.27,51.06,51.06,13,18.51,41.92,5.87,23.98,0.0,0.0,8.37,11,1,11.0,42.74,0.22,42.95,6,60,23.28
TSM,20240126,20260418,20260331,337.95,363.35,7.52,7.52,12,319.61,13.69,2.18,12.41,0.0,0.0,4.16,6,5,1.2,13.04,5.5,18.54,0,60,-1.96
GSJY,20240126,20260418,20260331,48.66,51.75,6.35,6.35,13,46.81,10.55,1.25,5.65,0.0,0.0,1.94,7,5,1.4,10.15,3.82,13.97,0,60,1.89
JPEM,20240126,20260418,20260331,62.13,66.59,7.18,7.18,13,61.14,8.91,0.56,5.96,0.0,0.0,1.9,9,3,3.0,7.34,0.34,7.69,0,60,1.88
PRF,20240126,20260418,20260331,47.53,50.68,6.63,6.63,13,47.31,7.12,1.3,4.86,0.0,0.0,1.72,11,1,11.0,7.0,0.55,7.55,1,60,2.12
HBM,20240126,20260418,20260331,20.9,25.88,23.83,23.83,13,20.1,28.76,4.5,20.67,0.0,0.0,7.1,9,3,3.0,26.39,4.29,30.68,0,60,6.02
IPAC,20240126,20260418,20260331,76.51,81.85,6.98,6.98,13,73.97,10.65,1.5,6.06,0.0,0.0,2.12,7,5,1.4,8.81,1.94,10.75,0,60,1.68
EAT,20240126,20260418,20260331,142.77,158.14,10.77,10.77,13,151.52,4.37,3.95,11.54,0.0,0.0,4.25,8,4,2.0,17.2,6.6,23.8,0,60,2.59
ECON,20240126,20260418,20260331,28.74,32.19,12.0,12.0,13,27.97,15.09,0.8,9.53,0.0,0.0,3.02,9,3,3.0,13.18,1.62,14.8,1,60,4.51
JPXN,20240126,20260418,20260331,91.42,97.01,6.11,6.11,13,87.08,11.4,1.12,5.56,0.0,0.0,1.89,7,5,1.4,10.07,3.97,14.04,0,60,1.85
KEY,20240126,20260418,20260331,20.05,21.8,8.73,8.73,13,20.98,3.91,2.84,7.88,0.0,0.0,2.93,8,4,2.0,10.23,1.76,11.99,0,60,0.37
PNC,20240126,20260418,20260331,208.09,224.81,8.03,8.03,13,211.46,6.31,2.8,6.3,0.0,0.0,2.45,9,3,3.0,10.48,2.64,13.12,0,60,0.81
RZG,20240126,20260418,20260331,56.96,63.29,11.11,11.11,13,54.81,15.47,2.91,8.53,0.0,0.0,3.14,9,3,3.0,12.18,1.52,13.7,6,60,3.45
SIL,20240126,20260418,20260331,90.08,100.98,12.1,12.1,13,83.01,21.65,3.06,10.78,0.0,0.0,3.85,7,5,1.4,15.95,4.26,20.21,0,60,3.81
RFDI,20240126,20260418,20260331,82.11,87.16,6.15,6.15,13,81.45,7.01,1.39,5.93,0.0,0.0,2.06,7,5,1.4,7.73,1.69,9.42,0,60,0.72
