ts_code,start_date,end_date,breakthrough_date,start_price,current_price,growth_rate,ret_from_break_pct,days,year_start_price,year_to_date_growth,growth_5d,growth_10d,growth_20d,growth_30d,score,up_days,down_days,up_down_ratio,up_rate_sum,down_rate_sum,rate_sum,nh_break_events,nh_lookback_n,recent_5d_growth
80883,20250412,20260418,20251006,17.24,23.5,36.31,36.31,129,19.5,20.51,0.17,1.16,8.99,15.2,6.12,66,61,1.08,127.88,93.8,221.69,17,60,1.12
01772,20250412,20260418,20251006,47.38,81.85,72.75,72.75,129,54.1,51.29,4.22,-9.33,0.25,23.47,2.81,65,63,1.03,258.71,190.75,449.46,22,60,2.57
02361,20250412,20260418,20251006,3.7,5.09,37.57,37.57,129,5.5,-7.45,5.41,12.16,4.32,21.08,10.24,59,48,1.23,107.26,72.71,179.97,30,60,0.99
00489,20240126,20260412,20250717,4.15,9.54,129.88,129.88,150,8.82,8.16,19.52,16.87,118.31,115.9,67.64,71,71,1.0,175.26,78.09,253.35,8,60,1.06
03899,20240126,20260418,20250711,6.42,10.54,64.17,64.17,189,9.56,10.25,0.78,7.79,4.05,3.74,4.46,106,78,1.36,197.1,141.9,339.0,32,60,0.57
00522,20240126,20260418,20250711,60.09,138.1,129.82,129.82,189,81.2,70.07,3.74,16.39,15.14,9.92,12.19,100,88,1.14,276.86,184.32,461.18,32,60,17.33
01310,20240126,20260418,20250703,4.82,8.06,67.19,67.19,195,6.25,28.96,0.0,0.0,-0.21,1.04,0.15,85,81,1.05,212.39,134.27,346.65,17,60,-1.59
01138,20240126,20260418,20250702,6.42,18.03,180.84,180.84,196,9.67,86.45,-0.31,0.93,3.43,4.83,2.21,96,94,1.02,317.22,201.17,518.39,34,60,-3.43
02809,20240126,20260412,20250630,74.98,113.9,51.91,51.91,192,100.8,13.0,1.25,4.53,4.88,4.8,4.03,102,86,1.19,146.04,101.44,247.48,46,60,0.66
03147,20230625,20260412,20250624,7.9,13.79,74.56,74.56,196,12.69,8.67,4.62,6.01,11.77,13.04,8.87,103,90,1.14,186.95,127.15,314.1,44,60,6.9
03393,20230625,20260418,20250623,7.49,33.12,342.19,342.19,202,17.98,84.2,10.28,15.75,26.7,15.62,17.92,114,85,1.34,340.1,179.24,519.34,49,60,7.53
00659,20240126,20260418,20250620,6.16,8.1,31.58,31.58,203,7.2,12.5,1.19,0.0,2.23,4.0,1.71,96,86,1.12,98.69,69.84,168.53,29,60,-0.86
03808,20240126,20260418,20250617,20.41,41.26,102.16,102.16,206,27.74,48.74,4.41,5.88,8.82,17.15,8.72,104,96,1.08,249.06,170.85,419.91,36,60,-13.03
00883,20240126,20260418,20250603,16.73,26.98,61.27,61.27,216,21.86,23.42,2.39,7.17,1.55,6.46,4.39,116,98,1.18,169.06,117.94,287.0,32,60,1.28
00289,20240126,20260418,20250527,13.04,15.07,15.57,15.57,221,13.8,9.2,-11.66,-11.5,-11.12,-9.74,-11.07,104,80,1.3,97.77,81.35,179.11,18,60,4.65
02038,20240126,20260418,20250523,10.3,22.08,114.37,114.37,223,19.35,14.11,-7.28,-11.26,-3.01,0.78,-5.58,116,103,1.13,271.56,186.76,458.32,28,60,0.55
01088,20240126,20260418,20250514,28.78,45.98,59.78,59.78,230,39.66,15.94,1.56,3.3,6.08,6.6,4.45,116,107,1.08,173.2,123.01,296.22,40,60,1.28
03132,20240126,20260412,20250512,23.04,46.86,103.39,103.39,227,38.16,22.8,5.21,3.39,8.77,12.76,7.24,126,96,1.31,220.63,144.04,364.67,47,60,10.52
03076,20240126,20260412,20250512,7.14,13.31,86.41,86.41,227,9.54,39.59,2.66,2.38,2.45,6.93,3.37,128,83,1.54,185.62,119.26,304.88,52,60,8.74
03036,20240126,20260412,20250509,523.8,866.0,65.33,65.33,228,713.0,21.46,3.89,4.28,5.15,8.82,5.37,101,66,1.53,136.43,83.5,219.94,52,60,8.2
03074,20240126,20260412,20250508,208.54,346.0,65.91,65.91,229,287.9,20.18,5.81,6.52,6.09,11.63,7.27,131,96,1.36,166.82,113.12,279.94,53,60,6.96
09074,20240126,20260412,20250508,26.83,44.18,64.68,64.68,229,36.94,19.6,5.39,5.68,5.03,10.57,6.41,136,90,1.51,160.05,107.23,267.28,53,60,7.13
03160,20240126,20260412,20250508,20.59,29.46,43.11,43.11,229,26.8,9.93,1.45,0.97,3.28,4.15,2.4,126,95,1.33,123.47,85.73,209.2,40,60,1.66
00440,20230625,20260418,20250507,26.01,41.9,61.09,61.09,235,35.6,17.7,1.73,3.46,4.42,7.8,4.27,117,109,1.07,145.26,94.93,240.19,22,60,-0.29
02803,20240126,20260412,20250507,8.18,10.25,25.24,25.24,230,9.8,4.59,3.13,4.13,4.67,6.07,4.48,107,63,1.7,67.58,44.46,112.04,43,60,0.79
03021,20200331,20260412,20250506,7.09,9.33,31.52,31.52,131,0.0,0.0,3.37,5.64,3.24,11.34,5.61,60,39,1.54,59.55,31.53,91.08,34,60,-1.39
01113,20240126,20260418,20250506,30.66,46.84,52.77,52.77,236,40.3,16.23,3.91,1.14,4.4,8.81,4.21,132,97,1.36,150.02,105.42,255.44,44,60,-1.84
00016,20240126,20260418,20250506,71.47,133.0,86.09,86.09,236,95.62,39.09,8.47,7.91,10.91,16.72,10.68,132,100,1.32,199.62,133.38,333.01,47,60,-2.06
