breakthrough_date,breakthrough_price,breakthrough_ratio,final_gain,ma120,success,ts_code,volume_ratio
20240926,10.03,2.5641,15.95,9.78,False,sh603600,2.0312
20240927,18.72,4.0797,6.14,17.98,False,sh600111,3.0843
20240927,20.76,4.5566,-0.63,19.86,False,sh600438,1.5113
20251020,11.2,1.1591,0.0,11.07,False,sh603535,1.5166
20250624,17.72,1.0003,0.9,17.54,False,sh688584,0.6856
20241021,8.36,0.7846,0.48,8.29,False,sh603018,1.7206
20250627,26.15,3.4283,4.86,25.28,False,sh603530,3.6157
20251229,4.68,0.5425,-3.63,4.65,False,sh603363,0.7878
20250916,22.08,1.8317,-12.14,21.68,False,sh603057,0.6116
20250911,3.97,0.164,-2.52,3.96,False,sh600968,0.7868
20240801,13.35,1.6117,-0.52,13.14,False,sh601811,1.162
20250625,26.14,0.0692,-1.68,26.12,False,sh688161,1.0131
20260105,24.91,4.6204,-0.76,23.81,False,sh688236,3.0708
20240731,6.49,2.3999,0.0,6.34,False,sh600177,1.3377
20240731,3.66,2.7913,-3.45,3.56,False,sh601375,4.0676
20240926,3.71,0.7673,-0.54,3.68,False,sh600724,2.1849
20240927,1569.08,0.0459,0.78,1568.36,False,sh000151,1.4568
20240927,3.2,0.0545,7.81,3.2,False,sh601188,1.7091
20250709,24.34,0.0628,4.44,24.32,False,sh603629,2.6766
20250717,76.66,0.5242,-0.57,76.26,False,sh688278,1.7128
20240930,17.4,9.5897,-10.46,15.88,False,sh603806,2.5896
20240930,14.62,6.6041,-6.7,13.72,False,sh603628,2.812
20240816,7.74,0.3074,1.03,7.72,False,sh601872,1.747
20250627,15.77,0.2779,1.0,15.73,False,sh688085,0.879
20240926,17.76,4.7891,7.49,16.95,False,sh603286,3.6721
20240927,23.27,6.3915,-6.96,21.87,False,sh601595,1.315
20240927,4.07,0.5911,1.72,4.05,False,sh603086,1.5762
20240920,4.91,0.8818,8.76,4.87,False,sh600797,1.6412
20240927,5004.2,4.1266,5.9,4805.88,False,sh000856,1.9001
20251209,54.28,2.6627,-6.69,52.87,False,sh688302,8.5205
20260226,55.0,2.4932,-10.91,53.66,False,sh688665,1.6587
20250625,15.87,0.6128,2.84,15.77,False,sh603933,1.5108
20250624,36.18,0.324,0.14,36.06,False,sh603583,1.8583
20250804,15.55,0.9751,6.3,15.4,False,sh603219,2.1865
20250716,25.81,9.2846,-6.16,23.62,False,sh603950,2.9552
20250624,3.65,0.385,0.82,3.64,False,sh688055,1.9878
20240731,0.53,1.4318,-2.85,0.52,False,sh900928,2.3705
20240808,8.27,0.2424,-6.41,8.25,False,sh601116,3.4449
20251201,59.63,0.8774,-3.24,59.11,False,sh603257,0.7505
20240815,4.92,0.5686,-1.63,4.9,False,sh601158,1.244
20240807,7.61,0.6725,3.68,7.56,False,sh600642,0.7928
20250320,6.66,0.8327,-1.2,6.6,False,sh600011,1.1741
20250630,41.39,3.0236,10.82,40.18,False,sh688503,1.6648
20240906,5.28,4.6235,-11.55,5.05,False,sh600576,2.0553
20251114,42.92,1.6714,-8.67,42.21,False,sh688484,1.5498
20240926,8.36,0.5281,4.9,8.32,False,sh600822,1.5332
20240930,2590.19,5.312,-4.22,2459.54,False,sh000079,3.7473
20240806,7.54,2.3723,-0.66,7.37,False,sh603229,1.617
20241018,4.06,6.5897,4.68,3.81,False,sh600538,5.7511
20250624,29.22,1.4246,0.61,28.8,False,sh603205,0.8409
20240909,4.22,1.7399,-11.14,4.15,False,sh600841,5.3525
