last_trade_date,today_close,prev_n_days,prev_n_max_high,n_day_high_break,ma120_breakthrough_date,price_at_ma120_segment_start,growth_pct_ma120_start_to_today,days_since_ma120_segment,ts_code
20260420,27.31,20,27.2,True,20260323,18.57,47.0652,20,603906
20260420,20.03,20,19.9,True,20260319,17.31,15.7135,22,603580
20260420,123.72,20,122.22,True,20260310,86.55,42.9463,28,301196
20260420,52.86,20,51.47,True,20260310,35.69,48.1087,28,301511
20260420,33.0,20,30.58,True,20260309,13.4,146.2687,29,002580
20260420,5.4,20,5.25,True,20260305,4.34,24.424,31,000420
20260420,26.63,20,26.39,True,20260305,18.9,40.8995,31,002866
20260420,5.51,20,5.38,True,20260303,2.93,88.0546,33,002528
20260420,114.48,20,111.74,True,20260226,76.73,49.1985,36,300782
20260420,5.7,20,5.57,True,20260224,4.68,21.7949,38,002628
20260420,78.0,20,73.12,True,20260212,24.0,225.0,40,002980
20260420,44.97,20,43.98,True,20260212,30.75,46.2439,40,300499
20260420,7.5,20,7.47,True,20260209,6.87,9.1703,43,300511
20260420,14.99,20,14.74,True,20260209,12.15,23.3745,43,603936
20260420,11.59,20,11.17,True,20260209,9.24,25.4329,43,603912
20260420,22.71,20,22.16,True,20260204,17.27,31.4997,46,002875
20260420,13.87,20,13.83,True,20260203,11.3,22.7434,47,603088
20260420,32.54,20,31.44,True,20260123,22.45,44.9443,54,603139
20260420,12.05,20,11.99,True,20260120,4.43,172.009,57,600683
20260420,5.71,20,5.63,True,20260119,4.18,36.6029,58,002259
20260420,16.62,20,15.96,True,20260116,10.71,55.1821,59,301081
20260420,81.15,20,77.8,True,20260114,34.9,132.5215,61,688628
20260420,18.79,20,18.09,True,20260112,6.01,212.6456,63,001896
20260420,65.16,20,61.86,True,20260112,34.96,86.3844,63,300617
20260420,44.81,20,44.06,True,20260109,32.03,39.9001,64,688253
20260420,71.4,20,70.99,True,20260108,52.76,35.3298,65,688777
20260420,106.66,20,99.36,True,20260108,67.1,58.9568,65,300776
20260420,77.04,20,74.98,True,20260108,24.97,208.5302,65,688309
20260420,17.42,20,16.06,True,20260108,10.39,67.6612,65,600590
20260420,28.33,20,27.5,True,20260108,22.5,25.9111,65,300065
20260420,17.15,20,16.99,True,20260108,9.1,88.4615,65,300246
20260420,13.09,20,13.08,True,20260108,11.51,13.7272,65,002216
20260420,23.63,20,23.59,True,20260107,19.25,22.7532,61,603078
20260420,28.55,20,27.25,True,20260106,20.87,36.7992,67,603057
20260420,103.77,20,101.0,True,20260106,58.21,78.2683,67,600259
20260420,16.24,20,15.88,True,20260105,10.75,51.0698,68,600268
20260420,27.05,20,27.02,True,20260105,18.92,42.9704,68,002246
20260420,36.39,20,35.97,True,20260105,23.35,55.8458,68,688069
20260420,8.88,20,8.85,True,20251231,6.04,47.0199,69,603012
20260420,11.61,20,11.48,True,20251231,8.15,42.454,69,300599
20260420,15.52,20,14.63,True,20251224,12.9,20.3101,74,605007
20260420,13.93,20,13.9,True,20251224,6.98,99.5702,74,600152
20260420,31.52,20,30.17,True,20251224,15.58,102.3107,74,603738
20260420,46.5,20,45.8,True,20251224,29.96,55.2069,74,605118
20260420,9.69,20,9.6,True,20251224,7.19,34.7705,74,300099
20260420,212.96,20,193.6,True,20251223,66.15,221.935,75,001400
20260420,91.69,20,83.35,True,20251223,32.74,180.055,75,603052
20260420,26.21,20,25.96,True,20251222,14.54,80.2613,76,002810
20260420,64.8,20,63.8,True,20251222,42.49,52.5065,76,688448
20260420,11.12,20,11.07,True,20251218,7.91,40.5815,78,000990
20260420,72.86,20,72.5,True,20251218,37.3,95.3351,78,688090
20260420,73.96,20,68.0,True,20251218,45.23,63.5198,78,301186
20260420,32.42,20,31.82,True,20251215,27.95,15.9928,81,002142
20260420,82.44,20,80.8,True,20251212,53.0,55.5472,82,301548
20260420,22.87,20,21.83,True,20251211,17.22,32.8107,83,002879
20260420,42.11,20,41.52,True,20251211,28.54,47.5473,83,600391
20260420,12.66,20,12.52,True,20251210,8.15,55.3374,84,002201
20260420,119.01,20,112.48,True,20251208,59.37,100.4548,86,003031
20260420,40.96,20,38.0,True,20251205,21.8,87.8899,87,002536
20260420,50.2,20,45.5,True,20251205,21.36,135.0187,87,300900
20260420,140.2,20,137.99,True,20251205,68.08,105.9342,87,688375
20260420,21.38,20,20.67,True,20251204,9.8,118.1633,88,300265
20260420,37.38,20,35.25,True,20251204,21.54,73.5376,88,601698
