ts_code,breakthrough_date,breakthrough_price,ma120_at_breakthrough,held_p0,held_ma120,held_p0_days,held_ma120_days,min_deviation_p0,min_deviation_ma,broke_p0_count,broke_ma_count,max_gain,final_gain,success
sz002029,20240925,5.11,5.11,True,False,120,119,0.0,-0.13,0,1,57.1,24.05,True
sz300422,20240816,4.71,4.67,False,False,52,58,-22.08,-19.91,68,62,15.71,-8.92,False
sz301308,20250630,87.49,85.12,False,False,99,105,-7.96,-5.33,21,15,272.85,177.36,True
sz399404,20240807,5765.17,5763.03,False,False,102,102,-4.85,-5.42,18,18,15.29,9.78,False
sz300759,20250708,24.86,24.77,True,False,120,90,0.0,-6.86,0,30,44.41,14.36,False
sz300145,20240930,2.95,2.64,False,True,114,120,-6.78,0.0,6,0,57.29,32.88,True
sz300717,20251128,20.0,19.95,False,False,57,47,-8.9,-9.58,33,43,13.6,3.8,False
sz000623,20240924,12.99,12.77,True,False,120,100,0.0,-3.5,0,20,44.5,24.63,True
sz002330,20240927,4.05,3.93,False,False,118,103,-1.48,-4.06,2,17,30.37,4.94,False
sz000070,20241022,4.87,4.85,True,False,120,111,0.0,-9.74,0,9,36.96,20.94,True
sz300939,20250624,30.0,29.93,False,False,115,108,-0.67,-7.92,5,12,33.33,19.03,False
sz301515,20251125,21.78,21.65,False,False,68,55,-10.01,-10.37,25,38,22.36,4.73,False
sz002657,20240924,12.1,11.92,True,False,120,119,0.0,-0.79,0,1,132.15,61.24,True
sz002879,20240801,13.15,13.07,False,False,79,82,-13.08,-12.48,41,38,31.26,10.88,False
sz301072,20251020,23.83,23.55,False,False,44,39,-14.14,-14.95,75,80,8.18,-4.99,False
sz300240,20240826,5.66,5.65,False,False,110,73,-4.77,-10.75,10,47,48.76,14.13,False
sz000795,20240731,5.55,5.37,False,False,81,83,-11.72,-10.08,39,37,160.66,93.04,True
sz002286,20240924,6.06,6.01,True,True,120,120,0.0,0.0,0,0,38.56,31.79,True
sz301339,20260114,15.7,15.69,False,False,0,0,-19.3,-13.89,59,59,0.0,-14.97,False
sz300946,20251204,58.6,52.72,False,False,2,24,-29.1,-20.68,84,62,2.88,-20.36,False
sz002628,20240826,2.29,2.26,False,False,101,103,-8.73,-5.92,19,17,243.67,89.52,True
sz000568,20240930,143.75,137.59,False,False,3,57,-25.29,-12.48,117,63,6.47,-12.96,False
sz002806,20240926,9.17,9.03,True,False,120,111,0.0,-7.46,0,9,59.21,23.23,True
sz002552,20240930,12.48,12.43,False,False,79,105,-8.33,-7.49,41,15,39.26,17.23,False
sz300908,20250624,29.99,29.41,False,False,51,68,-8.8,-9.06,69,52,10.04,-6.5,False
sz002035,20240731,6.29,6.07,False,False,85,82,-13.2,-12.4,35,38,29.59,6.52,False
sz000526,20240806,61.94,59.44,False,False,2,4,-34.52,-24.31,118,116,1.86,-22.86,False
sz300745,20260316,26.19,26.08,False,False,8,6,-13.29,-13.29,14,16,4.81,3.7,False
sz002362,20240927,17.08,16.61,True,False,120,113,0.0,-4.77,0,7,98.89,30.27,True
sz399418,20240926,2730.97,2711.27,True,True,120,120,0.0,0.0,0,0,70.34,46.11,True
sz002531,20241008,9.1,8.75,False,False,17,46,-21.98,-12.34,103,74,7.47,-19.45,False
sz002864,20260105,31.66,31.33,False,False,65,51,-1.01,-6.25,1,15,19.58,0.47,False
sz300159,20240823,1.88,1.87,False,False,108,78,-13.58,-35.41,12,42,93.61,38.87,True
sz002605,20240911,20.49,20.16,False,False,113,108,-8.1,-5.67,7,12,65.64,42.41,True
sz301020,20251020,22.25,22.05,False,False,75,53,-12.72,-14.88,44,66,8.09,-2.16,False
sz000811,20240930,7.74,7.21,False,False,101,110,-12.03,-4.68,19,10,49.19,21.86,True
sz301293,20251225,57.47,56.9,False,False,70,64,-2.0,-4.24,1,7,72.05,19.71,False
sz300470,20240926,31.39,31.12,True,False,120,117,0.0,-1.12,0,3,29.97,15.03,False
sz001221,20260324,64.29,62.79,False,False,6,12,-6.05,-4.16,11,5,7.33,-0.3,False
sz002865,20240930,47.9,44.27,False,False,109,108,-10.61,-21.92,11,12,67.85,-4.55,False
sz002582,20240926,4.53,4.11,False,True,119,120,-0.88,0.0,1,0,139.45,75.8,True
sz300290,20240814,9.27,9.24,False,False,101,97,-14.24,-15.8,19,23,210.14,123.62,True
sz002256,20240904,1.82,1.79,False,False,109,98,-11.54,-7.64,11,22,72.53,28.02,True
sz300671,20250630,32.75,32.55,False,False,87,71,-5.5,-10.55,33,49,31.85,-2.69,False
sz002899,20250625,23.05,22.5,False,False,73,87,-14.27,-9.34,47,33,14.27,7.94,False
sz300996,20250709,15.9,15.87,True,False,120,99,0.0,-10.38,0,21,35.91,6.04,False
sz300114,20240926,43.3,42.68,True,True,89,89,0.0,0.0,0,0,115.27,66.7,True
sz002731,20240930,8.89,8.55,False,False,72,110,-9.79,-4.19,48,10,22.95,15.41,False
