breakthrough_date,breakthrough_price,consolidation_amplitude,final_gain,success,ts_code,volatility_shrink_ratio
20240802,8.75,18.45,-6.0,False,sh600615,1.3272
20250702,8.35,6.56,1.44,False,sh603105,2.3069
20240731,15.94,10.88,-3.14,False,sh600875,0.8078
20251215,18.68,14.99,-0.32,False,sh603231,0.6487
20250806,69.49,12.69,-1.71,False,sh603662,0.4242
20240731,9.3,20.26,-4.52,False,sh600592,4.0435
20250624,5.72,14.38,3.32,False,sh600173,3.7578
20240924,1.9,18.21,53.68,True,sh600208,0.1906
20250717,14.01,16.64,-1.28,False,sh603305,0.8259
20240927,6.94,13.14,2.16,False,sh600888,1.6783
20250725,28.84,8.14,1.25,False,sh688107,0.9929
20240926,7.15,15.07,10.07,False,sh600246,1.677
20240801,13.98,17.66,-6.36,False,sh603663,0.9757
20240730,6.19,22.25,29.24,True,sh600721,0.5696
20240925,1.88,11.21,12.77,False,sh603030,1.774
20240927,2.3,15.82,3.91,False,sh600172,2.671
20251014,5.7,12.78,-0.53,False,sh601658,2.2174
20240927,3454.09,11.08,7.82,False,sh000137,1.8991
20250826,56.77,8.24,2.08,False,sh603786,2.2227
20240920,12.98,13.82,10.09,False,sh600476,1.3538
20250924,21.39,26.68,9.12,False,sh688737,0.9
20250624,4.52,5.86,0.88,False,sh601068,1.1677
20240926,10.03,14.0,15.95,False,sh603600,0.6279
20240927,18.72,10.38,6.14,False,sh600111,2.2519
20240927,20.76,12.55,-0.63,False,sh600438,1.4103
20251020,11.2,18.73,0.0,False,sh603535,1.5479
20250624,17.72,9.25,0.9,False,sh688584,0.6937
20241021,8.36,34.7,0.48,False,sh603018,0.5813
20250627,26.15,12.17,4.86,False,sh603530,0.5976
20251229,4.68,17.37,-3.63,False,sh603363,0.9457
20250916,22.08,21.88,-12.14,False,sh603057,0.4923
20250911,3.97,9.0,-2.52,False,sh600968,1.1351
20240801,13.35,16.23,-0.52,False,sh601811,0.1902
20250625,26.14,6.05,-1.68,False,sh688161,0.9871
20260105,24.91,11.07,-0.76,False,sh688236,3.1996
20240731,6.49,6.74,0.0,False,sh600177,1.8502
20240731,3.66,6.81,-3.45,False,sh601375,0.8308
20240926,3.71,12.55,-0.54,False,sh600724,3.3546
20240927,1569.08,11.75,0.78,False,sh000151,2.5223
20240927,3.2,11.81,7.81,False,sh601188,1.3605
20250709,24.34,16.34,4.44,False,sh603629,1.3655
20250717,76.66,11.88,-0.57,False,sh688278,1.9258
20240930,17.4,19.06,-10.46,False,sh603806,1.3876
20240930,14.62,17.03,-6.7,False,sh603628,2.8322
20240816,7.74,12.79,1.03,False,sh601872,0.7238
20250627,15.77,15.07,1.0,False,sh688085,1.156
20240926,17.76,13.92,7.49,False,sh603286,1.6058
20240927,23.27,28.9,-6.96,False,sh601595,1.5073
20240927,4.07,9.23,1.72,False,sh603086,2.7763
20240920,4.91,9.25,8.76,False,sh600797,0.7843
20240927,5004.2,9.87,5.9,False,sh000856,2.1245
20251209,54.28,16.31,-6.69,False,sh688302,0.3723
20260226,55.0,10.24,-10.91,False,sh688665,0.5845
20250625,15.87,10.92,2.84,False,sh603933,2.1887
20250624,36.18,14.6,0.14,False,sh603583,1.1143
20250804,15.55,9.24,6.3,False,sh603219,0.7747
20250716,25.81,15.01,-6.16,False,sh603950,0.3899
20250624,3.65,9.06,0.82,False,sh688055,0.9022
20240731,0.53,11.08,-2.85,False,sh900928,0.564
20240808,8.27,11.76,-6.41,False,sh601116,1.9126
20251201,59.63,18.12,-3.24,False,sh603257,1.5653
20240815,4.92,6.23,-1.63,False,sh601158,0.279
20240807,7.61,18.34,3.68,False,sh600642,0.8546
20250320,6.66,6.07,-1.2,False,sh600011,1.1287
20250630,41.39,26.5,10.82,False,sh688503,0.3925
20240906,5.28,21.72,-11.55,False,sh600576,1.4265
20251114,42.92,14.36,-8.67,False,sh688484,1.2264
20240926,8.36,17.86,4.9,False,sh600822,1.1606
20240930,2590.19,9.98,-4.22,False,sh000079,1.4899
20240806,7.54,11.85,-0.66,False,sh603229,1.7352
20241018,4.06,33.61,4.68,False,sh600538,1.7212
20250624,29.22,7.54,0.61,False,sh603205,1.3086
20240909,4.22,17.2,-11.14,False,sh600841,0.974
20241008,7.0,27.02,-8.71,False,sh603903,4.2133
20240926,3.38,12.95,8.87,False,sh600308,3.5063
20251015,38.43,31.65,0.29,False,sh688180,0.9232
20240830,1.4,9.06,-2.29,False,sh900934,3.8709
20240731,31.44,20.24,-3.78,False,sh603383,0.6372
20251201,54.83,12.88,-2.19,False,sh688049,1.9282
20250924,14.15,19.31,5.72,False,sh688560,0.7318
20240731,13.48,10.66,-2.97,False,sh600621,1.2984
20250707,15.75,6.49,-1.21,False,sh600989,0.6624
20250902,9.03,8.79,-2.32,False,sh601939,0.4932
20250729,15.72,8.06,-2.1,False,sh688007,2.3596
20241025,2.85,18.33,10.18,False,sh603879,1.1117
20240905,1.64,17.72,0.0,False,sh600715,0.8122
20240904,10.09,32.91,-2.68,False,sh600272,0.2344
20260306,16.02,13.86,-0.81,False,sh603182,2.4386
20250624,22.31,9.99,6.01,False,sh688133,0.9501
20240927,7.61,11.71,2.1,False,sh601369,2.1912
20250924,19.25,14.82,-0.57,False,sh688479,0.878
20250114,9.66,19.21,-0.62,False,sh600958,3.2821
20240930,6.11,14.83,-3.44,False,sh600125,1.7081
20240927,8.14,14.05,-0.88,False,sh603067,0.7621
20250929,24.9,11.05,-1.77,False,sh688150,0.6781
20250725,75.0,6.07,-3.87,False,sh688099,1.1479
20240927,19.77,23.67,-2.93,False,sh603505,2.5971
20240731,2.9,8.45,-2.41,False,sh601016,1.7318
20250708,11.26,7.75,0.18,False,sh688432,1.3649
