breakthrough_date,breakthrough_price,final_gain,is_premium,ma_proximity,multi_ma_bullish,new_high,success,ts_code,volume_surge
20250117,0.11,-12.5,False,False,False,False,False,sh900952,True
20241101,3.52,1.42,False,False,False,True,False,sh600193,False
20240730,4.22,-9.0,False,False,False,True,False,sh600609,False
20240926,3.6,3.89,False,False,False,True,False,sh600320,False
20260108,34.5,9.07,False,False,False,True,False,sh688061,False
20250625,17.4,1.2,False,False,False,True,False,sh688355,False
20240816,3.77,-1.06,False,False,False,False,False,sh600869,False
20240930,2.95,-6.1,False,False,False,True,False,sh600387,True
20240927,7.93,-1.01,False,False,False,True,False,sh600596,True
20250716,34.2,-5.03,False,False,False,False,False,sh603666,True
20250724,34.0,16.97,False,False,False,True,False,sh688699,False
20251110,17.52,-8.79,False,False,False,False,False,sh605077,False
20251105,63.29,-5.07,False,False,False,False,False,sh688103,False
20240927,3.61,5.82,False,False,False,True,False,sh603980,False
20240801,10.36,-5.21,False,False,False,False,False,sh600176,False
20240930,16.53,-1.57,False,False,False,True,False,sh603667,True
20240930,2.83,9.89,False,False,False,True,False,sh600725,True
20250624,19.1,0.31,False,True,False,True,False,sh688733,True
20240926,5.29,11.53,False,False,False,True,False,sh601997,True
20240927,3774.3,12.23,False,False,False,True,False,sh000133,False
20240927,3.94,-8.12,False,False,False,True,False,sh600115,True
20240926,6.43,5.91,False,False,False,False,False,sh600746,False
20260114,15.44,22.09,False,False,False,True,True,sh603056,False
20251021,48.17,8.2,False,False,False,False,False,sh688580,False
20260126,9.8,-2.76,False,False,False,True,False,sh601022,False
20240927,13.01,-1.23,False,False,False,True,False,sh600508,True
20240731,4.7,4.47,False,False,False,True,False,sh600812,False
20240927,31.21,-7.21,False,False,False,True,False,sh603899,False
20240806,7.13,-3.92,False,False,False,False,False,sh601117,False
20240807,8.91,-6.06,False,False,False,False,False,sh600021,False
20251024,21.15,0.71,False,False,False,False,False,sh688360,False
20240920,2.36,11.44,False,False,False,True,False,sh600376,False
20240904,4.28,3.97,False,False,False,True,False,sh600525,False
20251212,45.84,-3.03,False,False,False,False,False,sh688550,False
20241218,7.95,-16.6,False,False,False,False,False,sh600611,False
20240927,18.32,2.68,False,False,False,True,False,sh603100,False
20240926,0.49,6.38,False,False,False,False,False,sh900904,False
20240930,4.48,5.8,False,False,False,True,False,sh603429,False
20250908,27.66,-2.53,False,False,False,False,False,sh603235,False
20240731,7.95,-8.81,False,False,False,False,False,sh603936,False
20240927,35.19,-2.56,False,False,False,True,False,sh600009,True
20240930,7.37,-15.33,False,False,False,True,False,sh603718,True
20240926,9.35,6.52,False,False,False,True,False,sh600793,False
20250721,44.19,2.2,False,False,False,False,False,sh688348,False
20251124,36.05,4.24,False,False,False,False,False,sh603757,False
20240927,5136.44,11.93,False,False,False,True,False,sh000852,False
20250722,10.32,-1.07,False,False,False,False,False,sh688306,False
20250708,104.27,-1.55,False,False,False,True,False,sh688032,True
20240830,18.17,-7.32,False,False,False,True,False,sh600520,True
20250326,176.31,0.57,False,True,False,False,False,sh000061,False
20250723,137.38,8.49,False,False,False,False,False,sh688536,False
20240731,18.36,-10.46,False,True,False,True,False,sh600990,True
20240927,5.03,1.79,False,False,False,True,False,sh603166,False
20240926,3.59,10.31,False,False,False,False,False,sh600310,False
20251222,39.98,1.33,False,False,False,False,False,sh688051,False
20240906,12.18,6.98,False,False,False,True,False,sh601688,True
20260120,59.45,-3.26,False,False,False,True,False,sh603400,True
20251215,101.12,5.49,False,False,False,True,False,sh688578,False
20241008,9.38,0.43,False,False,False,True,False,sh603955,True
20240927,5.61,-2.5,False,False,False,True,False,sh603128,False
20240925,9.89,12.75,False,False,False,True,False,sh600639,True
20250821,9.28,0.22,False,True,False,False,False,sh600025,False
20240930,8.72,-4.24,False,False,False,True,False,sh600097,True
20251031,21.21,1.93,False,False,False,False,False,sh603367,False
20250916,11.72,-4.95,False,True,False,False,False,sh603329,False
20260206,26.83,10.7,False,False,False,False,False,sh688251,False
20240927,2.92,4.79,False,False,False,True,False,sh603601,False
20240920,1.28,12.5,False,False,False,True,False,sh600743,True
20240930,3.81,-6.82,False,False,False,True,False,sh600110,True
20250701,23.2,-0.26,False,False,False,True,False,sh605011,True
20250819,26.7,4.61,False,False,False,True,False,sh688165,True
20240930,26.66,3.11,False,False,False,True,False,sh603031,True
20250801,37.89,12.91,False,False,False,True,False,sh603283,True
20260112,32.09,-5.58,False,False,False,True,False,sh688232,True
20250624,17.71,-1.58,False,True,False,False,False,sh688106,False
20240801,2.78,-0.36,False,False,False,False,False,sh601616,False
20240926,2627.37,5.67,False,False,False,True,False,sh000155,False
20251113,2.85,-12.28,False,False,False,True,False,sh603557,True
20240927,6701.54,4.68,False,False,False,True,False,sh000966,True
20240930,4.18,7.65,False,False,False,True,False,sh600711,True
20250728,9.22,-1.19,False,False,False,True,False,sh605377,True
20240927,21.49,0.98,False,False,False,True,False,sh603000,False
20260113,49.6,-0.2,False,False,False,True,False,sh688137,True
20240806,42.71,-1.55,False,False,False,False,False,sh600276,False
20240806,11.09,-3.16,False,False,False,False,False,sh603567,False
20240927,54.07,-2.46,False,False,False,True,False,sh603833,False
20251219,5.74,-2.09,False,False,False,False,False,sh603335,False
20240927,7.95,-7.17,False,False,False,True,False,sh600238,True
20240924,4.99,9.02,False,False,False,True,False,sh603999,False
20240731,4736.64,-2.58,False,True,False,False,False,sh000934,False
20240816,3520.33,-1.77,False,True,False,False,False,sh000149,False
20240927,11.61,15.13,False,False,False,True,False,sh603319,False
20240927,1.76,1.7,False,False,False,True,False,sh600408,True
20260121,49.62,1.39,False,False,False,True,False,sh603062,False
20240927,8.97,3.68,False,False,False,True,False,sh600392,True
