added_count,avg_cost,entry_date,entry_price,exit_reason,exited,final_gain,highest_price,last_price,shares,ts_code
2,6.59,20250408,5.97,观察期末,False,9.31,7.22,7.2,300,sh600731
0,23.67,20251015,23.67,死叉减半,False,-6.84,23.67,22.05,50,sh605319
0,20.02,20260325,20.02,观察期末,False,4.1,21.32,20.84,100,sh605005
0,3.54,20250401,3.54,死叉减半,False,-9.04,3.54,3.22,50,sh600984
2,18.79,20251125,16.66,死叉减半,False,13.93,21.41,21.41,250,sh600367
2,3.44,20250410,3.12,观察期末,False,7.46,3.76,3.7,300,sz002132
2,29.93,20251219,25.83,死叉减半,False,-16.96,33.0,24.85,250,sz001368
1,5.79,20251222,5.39,死叉减半,False,-9.15,6.17,5.26,150,sz002678
1,11.87,20250905,11.0,死叉减半,False,-10.53,12.92,10.62,100,sz300715
0,9.04,20260129,9.04,死叉减半,False,-9.51,9.06,8.18,50,sz002561
0,8921.93,20260129,8921.93,死叉减半,False,-2.07,8944.4,8737.48,50,sz399403
0,4.05,20260415,4.05,观察期末,False,-4.2,4.05,3.88,100,sz002060
1,4.54,20251010,4.21,再跌10%清仓,True,-9.4,4.7,4.11,100,sz000573
0,11.23,20260225,11.23,死叉减半,False,-10.51,11.33,10.05,50,sz002905
2,8.07,20251219,7.23,再跌10%清仓,True,-21.35,8.69,6.35,100,sz300076
4,6.91,20251128,5.69,观察期末,False,7.01,8.22,7.39,500,sz002585
0,7.54,20260324,7.54,观察期末,False,3.98,7.9,7.84,100,sz002198
0,2.89,20250808,2.89,死叉减半,False,3.81,3.0,3.0,50,sz000008
2,14.01,20250513,12.64,死叉减半,False,-8.87,15.45,12.77,150,sz002867
4,17.76,20250901,13.62,死叉减半,False,-10.24,20.32,15.94,250,sz300092
0,15.61,20260408,15.61,观察期末,False,1.09,16.03,15.78,100,sz000020
0,34.22,20260324,34.22,死叉减半,False,-5.93,34.36,32.19,50,sz301388
2,21.2,20250905,19.14,死叉减半,False,-10.8,24.05,18.91,150,sz301016
0,14.01,20260311,14.01,死叉减半,False,-16.35,14.01,11.72,50,sz001217
1,9.34,20260119,8.85,死叉减半,False,-13.17,9.89,8.11,100,sz002799
1,8.54,20250409,8.13,死叉减半,False,-8.31,9.2,7.83,100,sz002707
2,26.97,20251225,23.86,死叉减半,False,-5.04,29.02,25.61,250,sz300988
2,5.99,20250331,5.25,死叉减半,False,-4.38,6.42,5.73,150,sz000715
0,10.77,20260310,10.77,死叉减半,False,-9.01,10.77,9.8,50,sz000576
1,30.84,20250114,29.23,死叉减半,False,-12.68,33.1,26.93,100,sz300596
6,3.73,20250929,2.77,观察期末,False,9.07,4.5,4.07,700,sz000797
0,29.28,20251020,29.28,死叉减半,False,1.16,31.98,29.62,50,sz301222
0,4.75,20250408,4.75,死叉减半,False,0.82,5.03,4.79,50,sz300021
5,54.55,20260129,41.74,观察期末,False,-2.93,66.4,52.95,600,sz300991
0,6.2,20251125,6.2,死叉减半,False,-23.71,6.2,4.73,50,sz300173
4,9.78,20240924,7.8,观察期末,False,-3.38,11.18,9.45,500,sz002661
1,19.94,20251009,17.9,死叉减半,False,-11.13,20.96,17.72,150,sz000025
0,20.48,20260109,20.48,死叉减半,False,-16.46,21.75,17.11,50,sz002862
0,16.72,20241224,16.72,死叉减半,False,-4.78,16.81,15.92,50,sz300538
1,13.0,20251217,12.38,死叉减半,False,-14.85,14.35,11.07,100,sz301126
0,67.77,20250304,67.77,死叉减半,False,-5.52,71.49,64.03,50,sz002049
2,19.05,20251124,17.1,观察期末,False,3.57,21.11,19.73,300,sz300424
1,9.07,20250408,8.63,观察期末,False,10.13,10.24,9.99,200,sz002852
0,9.78,20260305,9.78,死叉减半,False,-11.66,9.9,8.64,50,sz300193
0,10.34,20251010,10.34,死叉减半,False,-7.45,10.91,9.57,50,sz300320
0,4.67,20260324,4.67,死叉减半,False,-9.85,4.72,4.21,50,sz300510
1,12.94,20250205,12.21,死叉减半,False,-6.46,13.95,12.1,100,sz300615
1,8.4,20260327,7.79,观察期末,False,7.26,9.01,9.01,200,sz301090
0,19.29,20260325,19.29,死叉减半,False,-14.67,19.58,16.46,50,sz300772
0,25.44,20260310,25.44,死叉减半,False,-6.49,25.44,23.79,50,sz300971
9,69.82,20250811,46.35,观察期末,False,20.33,91.0,84.01,1000,sz300014
0,5.11,20250421,5.11,观察期末,False,5.09,5.56,5.37,100,sz002479
0,31.0,20260306,31.0,死叉减半,False,-11.77,31.81,27.35,50,sz301212
0,17.89,20250916,17.89,死叉减半,False,-4.75,18.8,17.04,50,sz300989
0,28.09,20250304,28.09,死叉减半,False,-22.86,28.79,21.67,50,sz002180
1,6.01,20251124,5.58,死叉减半,False,0.55,6.36,6.04,150,sz002333
0,4.13,20260413,4.13,观察期末,False,-1.45,4.19,4.07,100,sz000010
0,29.22,20250905,29.22,死叉减半,False,-6.67,31.48,27.27,50,sz002819
0,34.9,20260310,34.9,死叉减半,False,-7.48,35.33,32.29,50,sz301195
0,17.37,20260324,17.37,观察期末,False,4.49,18.51,18.15,100,sz002805
2,27.31,20251021,24.25,观察期末,False,2.61,30.4,28.02,300,sz300812
2,3.63,20250411,3.25,观察期末,False,10.09,4.2,4.0,300,sz300020
1,17.87,20250429,16.26,死叉减半,False,-0.93,18.67,17.7,150,sz002732
0,2647.32,20260310,2647.32,观察期末,False,0.33,2678.85,2656.14,100,sz399650
3,79.35,20260320,67.43,观察期末,False,4.24,88.28,82.71,400,sz002460
1,6.06,20251224,5.66,死叉减半,False,-9.57,6.39,5.48,150,sz300172
0,1705.79,20250908,1705.79,死叉减半,False,-1.4,1778.05,1681.96,50,sz399433
2,38.36,20260324,34.17,观察期末,False,11.08,42.61,42.61,300,sz301295
0,8.36,20260324,8.36,死叉减半,False,-3.47,9.11,8.07,50,sz000543
3,8.48,20250903,7.1,死叉减半,False,-2.09,9.55,8.3,350,sz000859
0,7682.34,20260310,7682.34,死叉减半,False,0.33,7731.68,7707.55,50,sz399553
0,19.9,20260408,19.9,死叉减半,False,1.51,20.2,20.2,50,sz001324
4,21.63,20250107,16.99,再跌10%清仓,True,-26.81,24.96,15.83,100,sz300491
9,12.11,20240806,7.82,死叉减半,False,21.35,15.45,14.69,950,sz002457
11,141.31,20250704,86.49,死叉减半,False,21.93,182.0,172.3,1150,sz001309
0,22.63,20250408,22.63,死叉减半,False,3.63,24.78,23.45,50,sz002318
1,23.47,20250703,21.9,死叉减半,False,0.14,24.99,23.5,150,sz002001
0,12.28,20260129,12.28,死叉减半,False,-14.82,12.35,10.46,50,sz002186
0,4.51,20260324,4.51,观察期末,False,0.89,4.65,4.55,100,sz000088
1,4.72,20260306,4.48,死叉减半,False,-12.29,4.96,4.14,100,sz300190
0,2.77,20260407,2.77,观察期末,False,-7.22,2.83,2.57,100,sz002431
0,7.01,20260305,7.01,死叉减半,False,-6.7,7.2,6.54,50,sz002587
1,3.4,20251128,3.17,死叉减半,False,-0.1,3.52,3.4,150,sz000545
1,5.05,20250623,4.74,观察期末,False,5.35,5.39,5.32,200,sz002666
0,35.3,20260310,35.3,死叉减半,False,-7.48,35.3,32.66,50,sz002933
0,20.6,20250903,20.6,死叉减半,False,-7.91,20.6,18.97,50,sz300668
1,14.0,20260324,13.21,观察期末,False,7.07,14.99,14.99,200,sz000695
0,4.96,20251219,4.96,死叉减半,False,-4.23,5.3,4.75,50,sz002687
0,5.15,20251219,5.15,死叉减半,False,-10.49,5.57,4.61,50,sz002330
4,25.06,20250331,20.01,死叉减半,False,11.5,28.85,27.94,450,sz002657
6,10.5,20250410,7.83,观察期末,False,13.02,12.81,11.87,700,sz002286
3,18.52,20251124,15.9,观察期末,False,12.43,21.21,20.82,400,sz002552
6,3.22,20250724,2.35,死叉减半,False,-1.98,3.89,3.16,650,sz002256
1,13.02,20260324,12.38,观察期末,False,5.57,13.75,13.75,200,sz001338
0,10974.1,20260310,10974.1,死叉减半,False,-1.19,11009.15,10843.76,50,sz399352
3,4.94,20250506,4.11,观察期末,False,0.05,5.47,4.94,400,sz300189
0,9.69,20251128,9.69,死叉减半,False,-7.43,9.82,8.97,50,sz002719
1,32.96,20250721,30.85,死叉减半,False,-3.2,34.02,31.91,150,sz002978
0,21.24,20260310,21.24,死叉减半,False,-3.72,21.24,20.45,50,sz001209
0,8274.19,20260305,8274.19,观察期末,False,0.13,8350.94,8284.81,100,sz399552
0,17.77,20260305,17.77,观察期末,False,6.19,19.0,18.87,100,sz002884
3,8.18,20251031,6.76,死叉减半,False,0.24,9.23,8.2,350,sz000017
0,6.71,20260401,6.71,死叉减半,False,-4.02,6.71,6.44,50,sz002063
0,58.15,20260128,58.15,死叉减半,False,-19.74,60.49,46.67,50,sz300910
0,7.53,20250508,7.53,死叉减半,False,-14.48,7.53,6.44,50,sz002187
2,22.23,20251231,20.0,死叉减半,False,-9.0,25.1,20.23,150,sz300540
2,18.01,20260105,15.8,再跌10%清仓,True,-19.45,19.12,14.51,100,sz002462
0,7.97,20260325,7.97,死叉减半,False,-9.41,7.97,7.22,50,sz002366
0,41.51,20250724,41.51,死叉减半,False,-4.2,44.78,39.77,50,sz301297
14,101.91,20251024,56.52,死叉减半,False,37.13,139.75,139.75,1450,sz301611
5,5.36,20240829,4.02,观察期末,False,9.41,6.18,5.87,600,sz300241
2,44.19,20251125,38.68,观察期末,False,-6.5,46.95,41.32,300,sz301138
0,9.5,20260306,9.5,死叉减半,False,-9.79,9.51,8.57,50,sz002234
2,188.07,20260203,162.0,死叉减半,False,6.14,205.59,199.61,200,sz002850
1,14.3,20251219,13.19,死叉减半,False,-9.48,15.4,12.94,100,sz003003
3,10.87,20250506,9.31,观察期末,False,15.2,12.52,12.52,400,sz300517
0,13.15,20260316,13.15,死叉减半,False,-7.91,13.15,12.11,50,sz002152
3,25.86,20260202,21.26,死叉减半,False,6.24,28.75,27.48,300,sz301197
2,10.28,20250409,8.78,死叉减半,False,-1.04,10.65,10.17,250,sz300440
2,14.08,20251224,12.71,死叉减半,False,-13.92,16.25,12.12,150,sz000821
6,22.6,20251117,16.31,死叉减半,False,-9.37,26.9,20.48,350,sz300589
2,6.22,20250410,5.47,死叉减半,False,9.52,6.96,6.81,250,sz002300
2,4.37,20250408,3.95,观察期末,False,10.15,4.86,4.81,300,sz002807
3,9.88,20251219,8.48,再跌10%清仓,True,-20.51,11.34,7.85,100,sz002363
0,5.65,20260128,5.65,死叉减半,False,-13.81,6.12,4.87,50,sz300375
0,4.02,20251009,4.02,死叉减半,False,-3.23,4.25,3.89,50,sz002535
0,13.69,20251219,13.69,死叉减半,False,-10.23,14.76,12.29,50,sz300417
1,77.93,20260310,69.76,死叉减半,False,6.58,83.06,83.06,150,sz301219
0,29.4,20250411,29.4,死叉减半,False,-3.67,30.55,28.32,50,sz300054
0,7.91,20260306,7.91,死叉减半,False,1.26,8.05,8.01,50,sz300103
6,10.74,20250414,7.92,死叉减半,False,3.27,13.09,11.09,650,sz002639
0,7.87,20251021,7.87,死叉减半,False,-0.13,8.11,7.86,50,sz300232
0,20.75,20251223,20.75,死叉减半,False,-10.07,21.9,18.66,50,sz002888
0,7.65,20250408,7.65,观察期末,False,5.44,8.4,8.07,100,sz002772
0,6.33,20250805,6.33,死叉减半,False,2.53,6.83,6.49,50,sz000928
6,29.61,20251031,21.6,死叉减半,False,-5.41,35.11,28.01,650,sz000681
3,47.36,20251127,41.03,观察期末,False,-5.46,56.7,44.77,400,sz001335
0,53.33,20250908,53.33,死叉减半,False,-26.48,56.03,39.21,50,sz301000
0,5.62,20251219,5.62,死叉减半,False,-3.91,5.86,5.4,50,sz000548
0,119.03,20260401,119.03,观察期末,False,-2.13,128.05,116.5,100,sz300436
2,12.16,20251205,10.78,死叉减半,False,-11.13,13.52,10.81,250,sz002373
0,7.92,20251219,7.92,死叉减半,False,-1.23,8.54,7.82,50,sz002817
0,45.81,20251009,45.81,死叉减半,False,-11.94,47.16,40.34,50,sz300957
0,4.45,20251219,4.45,死叉减半,False,-13.03,4.69,3.87,50,sz002110
0,7.37,20251218,7.37,死叉减半,False,-5.02,8.03,7.0,50,sz000919
0,11.55,20260311,11.55,死叉减半,False,4.42,12.31,12.06,50,sz000957
0,5.79,20260408,5.79,观察期末,False,3.8,6.01,6.01,100,sz300032
3,8.33,20250430,6.75,死叉减半,False,-8.91,9.26,7.59,200,sz300281
1,14.25,20260310,13.32,死叉减半,False,3.27,14.72,14.72,150,sz002708
0,22.67,20260408,22.67,观察期末,False,8.07,24.5,24.5,100,sz001256
4,8.06,20250409,6.59,观察期末,False,6.27,9.87,8.57,500,sz300084
0,41.43,20250929,41.43,死叉减半,False,6.13,44.76,43.97,50,sz301182
