ts_code,breakthrough_date,roe,netprofit_yoy,final_gain,success
sh688655,20260126,,,1.05,False
sh603456,20240927,,,4.22,False
sh603131,20240927,,,7.44,False
sh600620,20240924,,,6.86,False
sh688561,20251020,,,16.74,False
sh000003,20240924,,,13.45,False
sh600493,20240927,,,1.52,False
sh603657,20251128,,,-12.13,False
sh605008,20250821,,,-4.26,False
sh603618,20240927,,,4.13,False
sh688381,20250624,,,3.15,False
sh688248,20251217,,,4.0,False
sh688132,20250624,,,-0.32,False
sh603183,20251124,,,2.89,False
sh600273,20240808,,,-1.0,False
sh603005,20240813,,,-8.54,False
sh603878,20241118,,,5.11,False
sh688098,20260407,,,-14.62,False
sh688265,20260113,,,-2.71,False
sh600777,20240828,,,-15.96,False
sh600959,20240924,,,7.02,False
sh603353,20250908,,,2.06,False
sh601368,20240730,,,-1.15,False
sh600917,20240927,,,5.17,False
sh603356,20250624,,,2.98,False
sh688680,20251107,,,-16.49,False
sh600895,20240730,,,-6.9,False
sh605020,20251105,,,1.24,False
sh600215,20241028,,,15.08,False
sh688450,20251013,,,2.8,False
sh688203,20251031,,,2.05,False
sh688599,20250708,,,2.73,False
sh600425,20240926,,,7.93,False
sh600696,20240927,,,22.24,True
sh600971,20250924,,,3.92,False
sh605339,20250704,,,2.21,False
sh601669,20240927,,,6.53,False
sh601512,20250708,,,8.2,False
sh688179,20250630,,,7.23,False
sh688379,20251124,,,8.64,False
sh603729,20240930,,,-2.56,False
sh600038,20240813,,,-7.99,False
sh600845,20240930,,,-11.42,False
sh688184,20250818,,,-4.25,False
sh000863,20240927,,,8.01,False
sh600705,20240924,,,30.04,True
sh603135,20250624,,,2.07,False
sh603767,20240930,,,-5.64,False
sh603386,20251203,,,9.52,False
sh600076,20240926,,,4.09,False
sh603200,20240930,,,-6.89,False
sh688799,20251031,,,-0.25,False
sh600511,20240930,,,-5.63,False
sh688003,20250729,,,1.21,False
sh688507,20250717,,,21.66,True
sh688060,20250624,,,1.78,False
sh000987,20240927,,,1.52,False
sh600608,20240925,,,-5.71,False
sh600192,20240806,,,7.51,False
sh601390,20240930,,,1.74,False
sh688549,20250724,,,3.55,False
sh603156,20250625,,,-1.29,False
sh688163,20251125,,,-1.94,False
sh000130,20240926,,,3.68,False
sh603360,20250716,,,-2.21,False
sh600116,20240927,,,4.14,False
sh603055,20250725,,,-3.32,False
sh688219,20250805,,,16.08,False
sh603982,20250829,,,6.88,False
sh688087,20250722,,,11.48,False
sh600595,20240930,,,-5.28,False
sh688429,20250708,,,-2.33,False
sh601339,20240930,,,2.25,False
sh600241,20240909,,,17.7,False
sh603303,20240801,,,5.67,False
sh600388,20240927,,,11.7,False
sh688100,20250630,,,-2.77,False
sh688234,20250724,,,2.95,False
sh603037,20240730,,,-2.78,False
sh603285,20251201,,,-0.91,False
sh600726,20240807,,,-3.77,False
sh600375,20240826,,,7.25,False
sh601177,20240926,,,5.72,False
sh688667,20251124,,,-12.17,False
sh600873,20251009,,,-0.37,False
sh603278,20250717,,,-1.18,False
sh688300,20250624,,,11.89,False
sh688553,20260109,,,-5.77,False
sh603699,20240731,,,-0.38,False
sh600612,20240930,,,-11.84,False
sh601139,20240927,,,2.06,False
sh688629,20250717,,,3.98,False
sh603236,20251201,,,-4.54,False
sh688287,20250805,,,-2.49,False
sh600872,20240930,,,-8.9,False
sh603161,20251219,,,3.1,False
sh605259,20260310,,,-8.04,False
sh600545,20240926,,,0.0,False
sh600671,20241008,,,11.48,False
sh600022,20240731,,,-2.29,False
sh688363,20251027,,,-3.4,False
sh688530,20250710,,,1.52,False
sh688535,20250718,,,-0.1,False
sh600993,20240731,,,3.77,False
sh603918,20240927,,,4.24,False
sh601225,20240830,,,-10.27,False
sh600674,20240902,,,-1.04,False
sh601111,20240805,,,-2.3,False
sh688052,20250729,,,-0.34,False
sh688601,20250624,,,1.25,False
sh600489,20240927,,,2.44,False
sh688328,20251125,,,1.95,False
sh603778,20240927,,,8.15,False
sh688786,20251124,,,2.01,False
sh605168,20250630,,,8.49,False
sh603585,20240912,,,13.93,False
sh688282,20250926,,,26.56,True
sh600877,20240801,,,-7.5,False
sh600790,20240924,,,7.67,False
sh603081,20240930,,,-6.99,False
sh603107,20250716,,,-0.25,False
