benchmark_gain,breakthrough_date,breakthrough_price,final_gain,rs_diff,stock_gain,success,ts_code
-1.78,20241107,6.98,-5.01,8.37,-5.01,False,sh600975
10.03,20240926,2.54,5.89,-6.6,5.89,False,sh600108
0.0,20250722,21.8,1.97,9.71,1.97,False,sh688249
6.59,20240918,5.33,4.32,-20.15,4.32,False,sh600692
5.69,20240927,10.91,1.38,-1.31,1.38,False,sh603587
14.62,20240925,2.74,20.44,-0.48,20.44,True,sh600816
0.0,20251020,23.99,7.09,-12.51,7.09,False,sh688199
0.0,20250723,48.8,31.15,8.44,31.15,True,sh688603
0.0,20251103,8.08,0.99,0.25,0.99,False,sh601921
10.03,20240926,4.34,1.61,5.71,1.61,False,sh600858
-0.67,20240821,3.54,-9.04,9.23,-9.04,False,sh600676
0.0,20251216,6.14,-2.12,-3.15,-2.12,False,sh600874
0.0,20250721,39.64,0.15,8.87,0.15,False,sh603082
5.69,20240927,11.96,3.85,-0.34,3.85,False,sh600372
5.69,20240927,48.44,-10.92,13.26,-10.92,False,sh603979
-1.49,20240802,8.75,-6.0,22.44,-6.0,False,sh600615
0.0,20250702,8.35,1.44,2.71,1.44,False,sh603105
-2.35,20240731,15.94,-3.14,1.57,-3.14,False,sh600875
0.0,20251215,18.68,-0.32,-11.39,-0.32,False,sh603231
0.0,20250806,69.49,-1.71,13.04,-1.71,False,sh603662
-2.35,20240731,9.3,-4.52,17.99,-4.52,False,sh600592
0.82,20250624,5.72,3.32,-5.49,3.32,False,sh600173
21.89,20240924,1.9,53.68,1.57,53.68,True,sh600208
0.0,20250717,14.01,-1.28,11.19,-1.28,False,sh603305
5.69,20240927,6.94,2.16,0.64,2.16,False,sh600888
0.0,20250725,28.84,1.25,6.22,1.25,False,sh688107
10.03,20240926,7.15,10.07,3.78,10.07,False,sh600246
-2.13,20240801,13.98,-6.36,7.55,-6.36,False,sh603663
-0.42,20240730,6.19,29.24,6.87,29.24,True,sh600721
14.62,20240925,1.88,12.77,-11.07,12.77,False,sh603030
5.69,20240927,2.3,3.91,9.3,3.91,False,sh600172
0.0,20251014,5.7,-0.53,-8.51,-0.53,False,sh601658
0.0,20250826,56.77,2.08,5.32,2.08,False,sh603786
