,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
1371,春立医疗,01858,主板,7.77,-,-,-,北京市春立正达医疗器械股份有限公司,-,1917.04万,HK,8.99亿,12.5963,1.67,6917.04万,3.74,-,0.20%,-,-
1372,汇量科技,01860,主板,-,-,-,-,汇量科技有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1373,保宝龙科技,01861,主板,-,-,-,-,保宝龙科技控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1374,景瑞控股,01862,主板,3.33,-,-,-,景瑞控股有限公司,-,12.91亿,HK,37.45亿,31.5512,0.87,12.91亿,0.22,-,-,-,-
1375,中国龙天集团,01863,主板,0.28,-,-,-,中国龙天集团有限公司,-,8.53亿,HK,11.68亿,47.0117,4.87,8.53亿,2.11,综合化工产品,-,-,-
1376,鹏高控股集团,01865,主板,-,-,-,-,鹏高控股集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1377,中国心连心化肥,01866,主板,3.39,-,-,-,中国心连心化肥有限公司,-,10.00亿,HK,20.40亿,59.7645,0.60,10.00亿,0.31,化肥与农用药剂,0.06%,-,-
1378,标准发展集团,01867,主板,-,-,-,-,标准发展集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1379,同方友友,01868,主板,0.63,-,-,-,同方友友控股有限公司,-,21.15亿,HK,20.10亿,152.8045,1.50,21.15亿,2.54,家居耐用消费品,-,-,-
1380,猫屎咖啡控股,01869,主板,-,-,-,-,猫屎咖啡控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1381,益美国际控股,01870,主板,-,-,-,-,益美国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1382,向中国际,01871,主板,-,-,-,-,向中国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1383,冠轈控股,01872,主板,-,-,-,-,冠轈控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1384,维亚生物,01873,主板,-,-,-,-,维亚生物科技控股集团,-,-,HK,-,-,-,-,-,-,-,-,-
1385,东曜药业-B,01875,主板,-,-,-,-,东曜药业股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1386,百威亚太,01876,主板,-,-,-,-,百威亚太控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1387,君实生物,01877,主板,-,-,-,-,上海君实生物医药科技股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1388,南戈壁,01878,主板,1.16,-,-,-,南戈壁资源有限公司,-,2.73亿,HK,5.15亿,-,1.63,2.73亿,0.65,煤炭开采及相关贸易,0.04%,-,-
1389,中国中免,01880,主板,3.54,-,-,-,中国旅游集团中免股份有限公司,-,84.34亿,HK,515.33亿,18.949,1.72,84.34亿,1.07,鞋类,0.12%,-,-
1390,海天国际,01882,主板,6.44,-,-,-,海天国际控股有限公司,-,15.96亿,HK,294.30亿,16.8289,2.86,15.96亿,3.08,工业机械及设备,0.17%,-,-
1391,中信国际电讯,01883,主板,2.22,-,-,-,中信国际电讯集团有限公司,-,35.40亿,HK,86.74亿,10.1199,1.10,35.40亿,1.11,电讯服务,0.08%,-,-
1392,EPRINT集团,01884,主板,0.36,-,-,-,Eprint集团有限公司,-,5.50亿,HK,5.12亿,17.9442,2.56,5.50亿,1.15,-,0.05%,-,-
1393,建滔积层板,01888,主板,4.68,-,-,-,建滔积层板控股有限公司,-,30.81亿,HK,276.98亿,6.4079,1.92,30.81亿,1.71,电器部件及设备,0.08%,-,-
1394,三爱健康集团,01889,主板,0.61,-,-,-,三爱健康产业集团有限公司,-,22.57亿,HK,8.35亿,-,0.60,22.57亿,2.70,制药,0.31%,-,-
1395,中国科培,01890,主板,-,-,-,-,中国科培教育集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1396,兴合控股,01891,主板,-,-,-,-,兴合控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1397,恒益控股,01894,主板,-,-,-,-,恒益控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1398,鑫苑服务,01895,主板,-,-,-,-,鑫苑物业服务集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1399,猫眼娱乐,01896,主板,-,-,-,-,猫眼娱乐,-,-,HK,-,-,-,-,-,-,-,-,-
1400,美亨实业,01897,主板,-,-,-,-,美亨实业控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1401,中煤能源,01898,主板,7.26,-,-,-,中国中煤能源股份有限公司,-,41.07亿,HK,458.75亿,23.8853,0.48,132.59亿,0.66,煤炭开采及相关贸易,0.22%,-,-
1402,兴达国际,01899,主板,4.02,-,-,-,兴达国际控股有限公司,-,14.68亿,HK,43.61亿,14.1551,0.74,14.68亿,0.71,汽车,0.75%,-,-
1403,中国智能交通,01900,主板,1.46,-,-,-,中国智能交通系统(控股)有限公司,-,16.54亿,HK,11.41亿,13.5367,0.47,16.54亿,0.40,软件及资讯科技顾问,0.02%,-,-
1404,飞扬集团,01901,主板,-,-,-,-,飞扬国际控股(集团)有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1405,JBB BUILDERS,01903,主板,-,-,-,-,JBB Builders International Limited,-,-,HK,-,-,-,-,-,-,-,-,-
1406,海通恒信,01905,主板,-,-,-,-,海通恒信国际融资租赁股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1407,博尼控股,01906,主板,-,-,-,-,博尼国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1408,中国旭阳集团,01907,主板,-,-,-,-,中国旭阳集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1409,建发国际集团,01908,主板,2.69,-,-,-,建发国际投资集团有限公司,-,4.28亿,HK,20.03亿,121.4934,1.74,4.28亿,13.85,-,0.10%,-,-
1410,火岩控股,01909,主板,-,-,-,-,火岩控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1411,新秀丽,01910,主板,8.07,-,-,-,新秀丽集团有限公司,-,14.15亿,HK,432.41亿,20.7026,3.79,14.15亿,1.88,其他纺织及成衣,0.40%,-,-
1412,华兴资本控股,01911,主板,-,-,-,-,华兴资本控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1413,康特隆,01912,主板,-,-,-,-,康特隆科技有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1414,普拉达,01913,主板,10.05,-,-,-,PRADA S.p.A.,-,25.59亿,HK,864.88亿,37.6806,3.36,25.59亿,3.28,其他纺织及成衣,0.11%,-,-
1415,泰和小贷,01915,主板,-,-,-,-,扬州市广陵区泰和农村小额贷款股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1416,江西银行,01916,主板,-,-,-,-,江西银行股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1417,豆盟科技,01917,主板,-,-,-,-,豆盟科技有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1418,融创中国,01918,主板,9.67,-,-,-,融创中国控股有限公司,-,38.90亿,HK,466.77亿,17.0359,1.24,38.90亿,1.13,-,0.53%,-,-
1419,中远海控,01919,主板,2.01,-,-,-,中远海运控股股份有限公司,-,25.81亿,HK,358.59亿,-,1.75,102.16亿,0.45,海运,0.20%,-,-
1420,中国网成,01920,主板,-,-,-,-,中国网成集团股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1421,达力普控股,01921,主板,-,-,-,-,达力普控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1422,瑞森生活服务,01922,主板,-,-,-,-,瑞森生活服务有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1423,旷世芳香,01925,主板,-,-,-,-,旷世芳香控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1424,久久王,01927,主板,-,-,-,-,久久王食品国际有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1425,金沙中国有限公司,01928,主板,4.82,-,-,-,金沙中国有限公司,-,80.73亿,HK,2797.16亿,29.7659,7.19,80.73亿,4.85,-,0.10%,-,-
1426,周大福,01929,主板,3.25,-,-,-,周大福珠宝集团有限公司,-,100.00亿,HK,804.00亿,27.6059,2.47,100.00亿,1.86,钟表珠宝,0.05%,-,-
1427,勋龙,01930,主板,-,-,-,-,勋龙汽车轻量化应用有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1428,华检医疗,01931,主板,-,-,-,-,华检医疗控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1429,中漆集团,01932,主板,-,-,-,-,中漆集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1430,元力控股,01933,主板,-,-,-,-,元力控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1431,嘉宏教育,01935,主板,-,-,-,-,嘉宏教育科技有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1432,利特米,01936,主板,-,-,-,-,利特米有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1433,佳辰控股,01937,主板,-,-,-,-,佳辰控股集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1434,珠江钢管,01938,主板,1.72,-,-,-,珠江石油天然气钢管控股有限公司,-,10.11亿,HK,10.82亿,-,0.62,10.11亿,0.66,石油/燃气设备及服务,0.03%,-,-
1435,上善黄金,01939,主板,-,-,-,-,上善黄金国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1436,CGII HLDGS,01940,主板,-,-,-,-,China Gas Industry Investment Holdings Co. Ltd.,-,-,HK,-,-,-,-,-,-,-,-,-
1437,烨星集团,01941,主板,-,-,-,-,烨星集团控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1438,马可数字科技,01942,主板,-,-,-,-,马可数字科技控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1439,金石控股集团,01943,主板,-,-,-,-,金石控股集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1440,清科控股,01945,主板,-,-,-,-,清科控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1441,美皓集团,01947,主板,-,-,-,-,美皓医疗集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1442,优矩控股,01948,主板,-,-,-,-,优矩控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1443,佰达国际控股,01949,主板,-,-,-,-,佰达国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1444,帝王实业控股,01950,主板,-,-,-,-,帝王实业控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1445,锦欣生殖,01951,主板,-,-,-,-,锦欣生殖医疗集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1446,云顶新耀,01952,主板,-,-,-,-,云顶新耀有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1447,RIMBACO,01953,主板,-,-,-,-,Rimbaco Group Global Limited,-,-,HK,-,-,-,-,-,-,-,-,-
1448,庄臣控股,01955,主板,-,-,-,-,香港庄臣控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1449,大人国际,01957,主板,-,-,-,-,中国大人国际有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1450,北京汽车,01958,主板,5.91,-,-,-,北京汽车股份有限公司,-,21.01亿,HK,568.89亿,7.9914,1.27,75.95亿,0.44,-,0.11%,-,-
1451,中聚投资,01959,主板,-,-,-,-,中聚投资集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1452,TBKS HLDGS,01960,主板,-,-,-,-,TBK & Sons Holdings Limited,-,-,HK,-,-,-,-,-,-,-,-,-
1453,多牛科技,01961,主板,-,-,-,-,多牛科技国际(开曼)集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1454,训修实业,01962,主板,-,-,-,-,训修实业集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1455,重庆银行,01963,主板,8.93,-,-,-,重庆银行股份有限公司,-,15.79亿,HK,194.50亿,4.9578,0.70,31.27亿,1.68,-,0.09%,-,-
1456,朗诗绿色生活,01965,主板,-,-,-,-,朗诗绿色生活服务有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1457,中骏集团控股,01966,主板,3.04,-,-,-,中骏集团控股有限公司,-,34.24亿,HK,96.55亿,4.1135,0.93,34.24亿,0.67,中国房地产,0.19%,-,-
1458,信恳智能,01967,主板,-,-,-,-,信恳智能控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1459,兴纺控股,01968,主板,-,-,-,-,兴纺控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1460,中国春来,01969,主板,-,-,-,-,中国春来教育集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1461,IMAX CHINA,01970,主板,4.12,-,-,-,"IMAX China Holding, Inc.",-,3.57亿,HK,124.81亿,44.1501,8.50,3.57亿,13.38,-,0.17%,-,-
1462,弘阳服务,01971,主板,-,-,-,-,弘阳服务集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1463,太古地产,01972,主板,38.52,-,-,-,太古地产有限公司,-,58.50亿,HK,1521.00亿,10.0869,0.67,58.50亿,8.97,地产投资,0.01%,-,-
1464,天图投资,01973,主板,-,-,-,-,深圳市天图投资管理股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1465,新兴印刷,01975,主板,-,-,-,-,新兴印刷控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1466,安乐工程,01977,主板,-,-,-,-,安乐工程集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1467,叙福楼集团,01978,主板,-,-,-,-,叙福楼集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1468,天宝集团,01979,主板,0.45,-,-,-,天宝集团控股有限公司,-,10.00亿,HK,18.60亿,9.4296,4.10,10.00亿,0.70,-,0.02%,-,-
1469,天鸽互动,01980,主板,2.25,-,-,-,天鸽互动控股有限公司,-,13.02亿,HK,80.70亿,33.4373,2.76,13.02亿,7.57,-,1.49%,-,-
1470,华夏控股,01981,主板,-,-,-,-,华夏集团控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1471,南旋控股,01982,主板,0.74,-,-,-,南旋控股有限公司,-,20.75亿,HK,33.82亿,14.5858,2.19,20.75亿,0.95,-,0.05%,-,-
1472,泸州银行,01983,主板,-,-,-,-,泸州银行股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1473,美高域,01985,主板,0.54,-,-,-,美高域集团有限公司,-,3.00亿,HK,5.64亿,22.6861,3.45,3.00亿,-,-,0.06%,-,-
1474,彩客新能源,01986,主板,2.30,-,-,-,彩客新能源科技有限公司,-,5.22亿,HK,27.15亿,20.2245,2.27,5.22亿,2.21,-,0.11%,-,-
1475,BENG SOON MACH,01987,主板,-,-,-,-,Beng Soon Machinery Holdings Limited,-,-,HK,-,-,-,-,-,-,-,-,-
1476,民生银行,01988,主板,11.02,-,-,-,中国民生银行股份有限公司,-,69.34亿,HK,2805.72亿,5.2794,0.70,364.85亿,1.73,银行,0.28%,-,-
1477,广合科技,01989,主板,-,-,-,-,广州广合科技股份有限公司,-,9.03亿,HK,9.30亿,34.1209,-,9.03亿,-,-,0.05%,-,-
1478,大洋集团,01991,主板,0.56,-,-,-,大洋集团控股有限公司,-,8.71亿,HK,5.31亿,-,1.08,8.71亿,1.26,电器部件及设备,0.02%,-,-
1479,雅仕维,01993,主板,1.25,-,-,-,雅仕维传媒集团有限公司,-,4.40亿,HK,10.96亿,68.1158,1.99,4.40亿,0.73,-,0.01%,-,-
1480,永升服务,01995,主板,-,-,-,-,永升服务集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1481,弘阳地产,01996,主板,-,-,-,-,弘阳地产集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1482,九龙仓置业,01997,主板,-,-,-,-,九龙仓置业地产投资有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1483,敏华控股,01999,主板,1.31,-,-,-,敏华控股有限公司,-,38.32亿,HK,299.69亿,15.7463,5.95,38.32亿,3.39,家居耐用消费品,0.66%,-,-
1484,晨讯科技,02000,主板,0.79,-,-,-,晨讯科技集团有限公司,-,25.58亿,HK,8.70亿,11.254,0.43,25.58亿,0.31,综合科技,0.23%,-,-
1485,新高教集团,02001,主板,1.22,-,-,-,中国新高教集团有限公司,-,14.31亿,HK,44.22亿,36.1257,2.54,14.31亿,-,-,0.07%,-,-
1486,阳光纸业,02002,主板,2.25,-,-,-,中国阳光纸业控股有限公司,-,8.03亿,HK,12.68亿,9.108,0.70,8.03亿,0.26,-,0.09%,-,-
1487,维信金科,02003,主板,-,-,-,-,维信金科控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1488,石四药集团,02005,主板,0.94,-,-,-,石四药集团有限公司,-,28.40亿,HK,88.04亿,17.9841,3.29,28.40亿,3.63,制药,0.03%,-,-
1489,碧桂园,02007,主板,3.73,-,-,-,碧桂园控股有限公司,-,213.41亿,HK,1833.16亿,13.7904,2.31,213.41亿,1.04,中国房地产,0.30%,-,-
1490,凤凰卫视,02008,主板,1.01,-,-,-,凤凰卫视投资(控股)有限公司,-,49.93亿,HK,62.42亿,27.0778,1.24,49.93亿,1.58,电视广播,0.01%,-,-
1491,金隅集团,02009,主板,4.74,-,-,-,北京金隅集团股份有限公司,-,23.39亿,HK,418.57亿,13.7391,0.83,106.78亿,0.79,建筑材料,1.46%,-,-
1492,进腾集团,02011,主板,0.69,-,-,-,进腾集团有限公司,-,4.35亿,HK,7.04亿,33.0958,2.36,4.35亿,4.40,纺织及成衣,0.51%,-,-
1493,阳光油砂,02012,主板,0.67,-,-,-,阳光油砂有限公司,-,54.91亿,HK,15.37亿,-,0.42,54.91亿,34.79,综合石油与燃气,0.12%,-,-
1494,微盟集团,02013,主板,-,-,-,-,微盟集团,-,-,HK,-,-,-,-,-,-,-,-,-
1495,理想汽车-W,02015,主板,-,-,-,-,理想汽车,-,-,HK,-,-,-,-,-,-,-,-,-
1496,浙商银行,02016,主板,4.20,-,-,-,浙商银行股份有限公司,-,37.95亿,HK,756.10亿,6.7169,1.00,179.60亿,2.03,-,-,-,-
1497,沧海控股,02017,主板,0.93,-,-,-,沧海控股有限公司,-,6.19亿,HK,11.13亿,9.3342,1.94,6.19亿,-,-,0.04%,-,-
1498,瑞声科技,02018,主板,13.02,-,-,-,瑞声科技控股有限公司,-,12.28亿,HK,1014.33亿,22.5654,6.35,12.28亿,5.30,电器部件及设备,-,-,-
1499,安踏体育,02020,主板,5.46,-,-,-,安踏体育用品有限公司,-,26.82亿,HK,599.45亿,22.0008,4.09,26.82亿,3.55,体育用品,0.25%,-,-
1500,游莱互动,02022,主板,-,-,-,-,游莱互动集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1501,中国绿岛科技,02023,主板,0.78,-,-,-,中国绿岛科技有限公司,-,4.80亿,HK,6.72亿,26.7726,1.79,4.80亿,2.22,-,0.05%,-,-
1502,瑞丰动力,02025,主板,-,-,-,-,瑞丰动力集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1503,小马智行-W,02026,主板,-,-,-,-,小马智行,-,-,HK,-,-,-,-,-,-,-,-,-
1504,映美控股,02028,主板,0.60,-,-,-,映美控股有限公司,-,6.57亿,HK,9.72亿,14.5238,2.48,6.57亿,1.60,电脑及周边产品,0.17%,-,-
1505,卡宾,02030,主板,1.56,-,-,-,卡宾服饰有限公司,-,7.11亿,HK,16.08亿,7.8907,1.45,7.11亿,1.18,-,0.07%,-,-
1506,澳至尊,02031,主板,0.20,-,-,-,澳至尊国际控股有限公司,-,7.50亿,HK,3.11亿,25.0142,2.12,7.50亿,1.61,-,0.04%,-,-
1507,时计宝,02033,主板,0.86,-,-,-,时计宝投资有限公司,-,20.80亿,HK,18.93亿,6.3169,1.06,20.80亿,0.66,-,-,-,-
1508,富智康集团,02038,主板,3.46,-,-,-,富智康集团有限公司,-,79.85亿,HK,206.02亿,19.2805,0.75,79.85亿,0.41,综合科技,0.12%,-,-
1509,中集集团,02039,主板,11.31,-,-,-,中国国际海运集装箱(集团)股份有限公司,-,17.17亿,HK,384.80亿,80.6795,1.14,29.78亿,0.57,-,0.04%,-,-
1510,易居企业控股,02048,主板,-,-,-,-,易居(中国)企业控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1511,三花智控,02050,主板,-,-,-,-,浙江三花智能控制股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1512,VALA,02051,主板,-,-,-,-,Vala Inc.,-,-,HK,-,-,-,-,-,-,-,-,-
1513,中通快递-W,02057,主板,-,-,-,-,中通快递(开曼)有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1514,中铝国际,02068,主板,3.95,-,-,-,中铝国际工程股份有限公司,-,3.99亿,HK,57.79亿,4.5225,0.55,26.63亿,0.20,建筑,-,-,-
1515,BOSS直聘-W,02076,主板,-,-,-,-,看准科技有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1516,荣阳实业,02078,主板,1.60,-,-,-,荣阳实业集团有限公司,-,12.00亿,HK,10.32亿,4.833,0.54,12.00亿,0.33,-,-,-,-
1517,奥克斯国际,02080,主板,0.41,-,-,-,奥克斯国际控股有限公司,-,3.15亿,HK,4.06亿,-,3.14,3.15亿,3.76,-,0.04%,-,-
1518,高维科技,02086,主板,0.46,-,-,-,高维科技投资集团有限公司,-,3.20亿,HK,13.10亿,-,8.91,3.20亿,8.54,-,0.04%,-,-
1519,西王置业,02088,主板,0.53,-,-,-,西王置业控股有限公司,-,12.37亿,HK,2.94亿,-,0.45,12.37亿,9.75,综合饮食制造,-,-,-
1520,先声药业,02096,主板,-,-,-,-,先声药业集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1521,蜜雪集团,02097,主板,-,-,-,-,蜜雪冰城股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1522,卓尔智联,02098,主板,1.26,-,-,-,卓尔智联集团有限公司,-,107.46亿,HK,482.48亿,20.7598,3.57,107.46亿,34.24,中国房地产,0.13%,-,-
1523,中国黄金国际,02099,主板,27.73,-,-,-,中国黄金国际资源有限公司,-,3.96亿,HK,47.73亿,-,0.43,3.96亿,1.74,-,0.04%,-,-
1524,百奥家庭互动,02100,主板,0.61,-,-,-,百奥家庭互动有限公司,-,28.95亿,HK,20.26亿,51.0991,1.15,28.95亿,4.09,-,0.08%,-,-
1525,福禄控股,02101,主板,-,-,-,-,福禄控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1526,德利机械,02102,主板,-,-,-,-,德利机械控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1527,来凯医药-B,02105,主板,-,-,-,-,来凯医药有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1528,第一服务控股,02107,主板,-,-,-,-,第一服务控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1529,K2 F&B,02108,主板,-,-,-,-,K2 F&B Holdings Limited,-,-,HK,-,-,-,-,-,-,-,-,-
1530,天成控股,02110,主板,-,-,-,-,天成控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1531,超盈国际控股,02111,主板,1.85,-,-,-,超盈国际控股有限公司,-,10.29亿,HK,71.84亿,15.6788,3.78,10.29亿,2.82,-,0.08%,-,-
1532,恩典生命科技,02112,主板,0.53,-,-,-,恩典生命科技控股有限公司,-,15.00亿,HK,26.85亿,79.2391,3.37,15.00亿,0.28,-,0.10%,-,-
1533,世纪集团国际,02113,主板,0.15,-,-,-,世纪集团国际控股有限公司,-,7.68亿,HK,4.68亿,17.0167,3.96,7.68亿,1.35,-,0.16%,-,-
1534,江苏创新,02116,主板,-,-,-,-,江苏创新环保新材料有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1535,捷荣国际控股,02119,主板,-,-,-,-,捷荣国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1536,康宁医院,02120,主板,15.43,-,-,-,温州康宁医院股份有限公司,-,2024.00万,HK,26.66亿,34.2117,2.36,7304.00万,5.13,-,0.05%,-,-
1537,创新奇智,02121,主板,3.11,-,-,-,创新奇智科技集团股份有限公司,-,8.02亿,HK,8.66亿,6.3242,0.35,8.02亿,0.34,综合化工产品,-,-,-
1538,凯知乐国际,02122,主板,-,-,-,-,凯知乐国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1539,稻草熊娱乐,02125,主板,-,-,-,-,稻草熊娱乐集团,-,-,HK,-,-,-,-,-,-,-,-,-
1540,药明巨诺-B,02126,主板,-,-,-,-,药明巨诺(开曼)有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1541,汇森股份,02127,主板,-,-,-,-,汇森股份集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1542,中国联塑,02128,主板,4.10,-,-,-,中国联塑集团控股有限公司,-,31.02亿,HK,186.77亿,8.8036,1.47,31.02亿,0.98,建筑材料,0.06%,-,-
1543,LEGION CONSO,02129,主板,-,-,-,-,Legion Consortium Limited,-,-,HK,-,-,-,-,-,-,-,-,-
1544,嘉泓物流,02130,主板,-,-,-,-,嘉泓物流国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1545,云想科技,02131,主板,-,-,-,-,云想科技控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1546,誉燊丰控股,02132,主板,-,-,-,-,誉燊丰控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1547,瑞丽医美,02135,主板,-,-,-,-,瑞丽医美国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1548,利福中国,02136,主板,6.11,-,-,-,利福中国集团有限公司,-,16.03亿,HK,38.46亿,11.8844,0.39,16.03亿,2.56,-,0.02%,-,-
1549,腾盛博药-B,02137,主板,-,-,-,-,腾盛博药生物科技有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1550,医思健康,02138,主板,0.78,-,-,-,医思健康,-,9.81亿,HK,25.80亿,17.6816,3.36,9.81亿,3.20,-,-,-,-
1551,甘肃银行,02139,主板,-,-,-,-,甘肃银行股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1552,和铂医药-B,02142,主板,-,-,-,-,和铂医药控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1553,上美股份,02145,主板,-,-,-,-,上海上美化妆品股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1554,荣万家,02146,主板,-,-,-,-,荣万家生活服务股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1555,正味集团,02147,主板,-,-,-,-,正味集团控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1556,贝克微,02149,主板,-,-,-,-,苏州贝克微电子股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1557,奈雪的茶,02150,主板,-,-,-,-,奈雪的茶控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1558,苏新服务,02152,主板,-,-,-,-,苏新美好生活服务股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1559,达丰设备,02153,主板,-,-,-,-,达丰设备服务有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1560,森松国际,02155,主板,-,-,-,-,森松国际控股有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1561,建发物业,02156,主板,-,-,-,-,建发物业管理集团有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1562,乐普生物-B,02157,主板,-,-,-,-,乐普生物科技股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1563,医渡科技,02158,主板,-,-,-,-,医渡科技有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1564,麦迪卫康,02159,主板,-,-,-,-,麦迪卫康健康医疗管理科技股份有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
1565,微创心通-B,02160,主板,-,-,-,-,微创心通医疗科技有限公司,-,-,HK,-,-,-,-,-,-,-,-,-
