,co_name,symbol,market,asset,co_business,amplitude,pe_s_d,co_intro,sc,hk_equity,exchange,mv,pe_s,pb_d,equity,ps,industry,turnover,oo,pb_MRQ
93,中国长远,00110,主板,0.15,-,-,-,中国长远控股有限公司,-,9.18亿,HK,2.89亿,-,2.12,9.18亿,2.34,综合科技,-,-,-
94,信达国际控股,00111,主板,1.18,-,-,-,信达国际控股有限公司,-,6.41亿,HK,6.35亿,14.6722,0.84,6.41亿,3.09,证券及经纪业,0.42%,-,-
95,迪生创建,00113,主板,5.20,-,-,-,迪生创建(国际)有限公司,-,3.80亿,HK,11.72亿,-,0.59,3.80亿,0.41,成衣及服饰零售,0.06%,-,-
96,HERALD HOLD,00114,主板,1.45,-,-,-,兴利集团有限公司,-,6.02亿,HK,7.05亿,18.5268,0.81,6.02亿,0.55,玩具,0.01%,-,-
97,钧濠集团,00115,主板,0.52,-,-,-,钧濠集团有限公司,-,13.61亿,HK,2.79亿,14.6268,0.39,13.61亿,30.75,中国房地产,0.10%,-,-
98,周生生,00116,主板,13.35,-,-,-,周生生集团国际有限公司,-,6.77亿,HK,121.98亿,16.5998,1.35,6.77亿,0.76,钟表珠宝,0.01%,-,-
99,天利控股集团,00117,主板,1.06,-,-,-,天利控股集团有限公司,-,7.45亿,HK,9.31亿,-,1.18,7.45亿,0.63,电器部件及设备,0.01%,-,-
100,大同机械,00118,主板,1.35,-,-,-,大同机械企业有限公司,-,7.17亿,HK,3.44亿,-,0.36,7.17亿,0.16,工业机械及设备,-,-,-
101,保利置业集团,00119,主板,6.74,-,-,-,保利置业集团有限公司,-,36.62亿,HK,115.70亿,145.1101,0.47,36.62亿,0.38,中国房地产,0.16%,-,-
102,COSMOPOL INT'L,00120,主板,0.26,-,-,-,四海国际集团有限公司,-,42.50亿,HK,14.45亿,-,1.30,42.50亿,30.66,投资控股及资产管理,0.13%,-,-
103,鳄鱼恤,00122,主板,1.63,-,-,-,鳄鱼恤有限公司,-,9.48亿,HK,9.66亿,2124.1639,0.63,9.48亿,3.07,纺织及成衣,0.05%,-,-
104,越秀地产,00123,主板,2.76,-,-,-,越秀地产股份有限公司,-,124.01亿,HK,159.98亿,9.014,0.47,124.01亿,0.66,中国房地产,0.46%,-,-
105,粤海置地,00124,主板,2.45,-,-,-,粤海置地控股有限公司,-,17.12亿,HK,29.61亿,165.0348,0.71,17.12亿,2.50,饮品 (酒精类),0.01%,-,-
106,新兴光学,00125,主板,3.46,-,-,-,新兴光学集团控股有限公司,-,2.63亿,HK,7.62亿,13.7456,0.84,2.63亿,0.72,视力产品,-,-,-
107,佳宁娜,00126,主板,2.74,-,-,-,佳宁娜集团控股有限公司,-,12.54亿,HK,10.16亿,8.3917,0.30,12.54亿,0.83,综合旅游、酒店及食肆,0.03%,-,-
108,华人置业,00127,主板,15.62,-,-,-,华人置业集团有限公司,-,19.08亿,HK,237.31亿,3.7191,0.80,19.08亿,2.61,综合地产,0.02%,-,-
109,安宁控股,00128,主板,0.61,-,-,-,安宁控股有限公司,-,16.51亿,HK,9.24亿,-,0.91,16.51亿,5.43,成衣及服饰零售,0.14%,-,-
110,泛海集团,00129,主板,12.65,-,-,-,泛海国际集团有限公司,-,13.20亿,HK,29.56亿,4.0618,0.18,13.20亿,1.53,综合地产,0.07%,-,-
111,慕诗国际,00130,主板,2.15,-,-,-,慕诗国际集团有限公司,-,2.88亿,HK,3.80亿,-,0.62,2.88亿,1.40,纺织及成衣,-,-,-
112,卓能(集团),00131,主板,10.41,本集团之主要业务活动为物业发展和投资与提供物业管理及其有关服务。,-,-,卓能(集团)有限公司,-,5.31亿,HK,27.47亿,8.7097,0.50,5.31亿,0.81,地产投资,-,-,-
113,兴业控股,00132,主板,0.54,-,-,-,兴业控股有限公司,-,17.12亿,HK,11.64亿,-,1.25,17.12亿,37.78,酒店,0.01%,-,-
114,招商局中国基金,00133,主板,28.58,-,-,-,招商局中国基金有限公司,-,1.52亿,HK,18.04亿,-,0.41,1.52亿,8.67,-,0.42%,-,-
115,昆仑能源,00135,主板,5.07,-,-,-,昆仑能源有限公司,-,80.72亿,HK,574.75亿,85.7462,1.40,80.72亿,0.68,石油/燃气加工及分销,0.05%,-,-
116,中国儒意,00136,主板,0.01,-,-,-,中国儒意控股有限公司,-,746.12亿,HK,94.76亿,2117.3782,10.24,746.12亿,79.44,个人及家居用品,1.35%,-,-
117,金辉集团,00137,主板,-,-,-,-,金辉集团有限公司,-,-,HK,-,-,-,-,-,海运,-,-,-
118,中建富通(新),00138,主板,3.62,-,-,-,中建富通集团有限公司,-,8.78亿,HK,9.48亿,3.10,0.30,8.78亿,0.98,电讯及网络器材,0.04%,-,-
119,小鱼盈通,00139,主板,0.13,-,-,-,小鱼盈通控股有限公司,-,102.65亿,HK,29.26亿,-,2.25,102.65亿,75.48,电子消费品,2.01%,-,-
120,第一太平,00142,主板,5.62,-,-,-,第一太平有限公司,-,43.12亿,HK,261.75亿,32.9757,1.08,43.12亿,0.49,-,0.06%,-,-
121,招商局港口,00144,主板,25.10,-,-,-,招商局港口控股有限公司,-,26.26亿,HK,590.79亿,10.7534,0.90,26.26亿,6.80,海港与服务,0.10%,-,-
122,信能低碳,00145,主板,0.30,-,-,-,信能低碳有限公司,-,23.07亿,HK,5.35亿,-,0.77,23.07亿,18.50,消费信贷及贷款融资,0.07%,-,-
123,TAI PING CARPET,00146,主板,3.22,-,-,-,太平地毡国际有限公司,-,2.12亿,HK,4.75亿,-,0.70,2.12亿,0.35,家居耐用消费品,0.04%,-,-
124,国际商业结算,00147,主板,0.07,-,-,-,国际商业结算控股有限公司,-,203.19亿,HK,280.40亿,-,19.71,203.19亿,206.25,家居耐用消费品,0.01%,-,-
