,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
1458,D. Boral Acquisition,DBCA,US,9.89,-,0.15%,-0.01/-,-,0.3,-,-,-,-,4.28亿,-6.68万,资本市场,0.51%,-,-
1459,迪堡金融设备,DBD,US,85.64,http://www.diebold.com,2.11%,2.57/31.51,"For 150 years, Diebold has brought together a combination of innovation, expertise and quality service to become a global leader in providing integrated self-service, security systems and services.",1.35,-,-,NYSE,-,29.81亿,9460.00万,软件,0.90%,102.27%,2.71
1460,Digital Brands Group,DBGI,US,1.43,-,14.47%,-2.18/-,-,-5.92,-,-,-,-,2378.00万,-3035.72万,专营零售,2.82%,1.96%,2.71
1461,Designer Brands,DBI,US,8.11,-,5.57%,-0.17/-,-,-1.82,-,-,-,-,4.11亿,-837.40万,专营零售,2.53%,84.43%,1.46
1462,Doubleline Opportuni,DBL,US,14.27,-,0.98%,1.05/13.72,-,0,-,-,NYSE,-,2.82亿,2056.06万,资本市场,0.54%,54.57%,0.938
1463,DigitalBridge Group,DBRG,US,15.6,-,0.26%,0.46/34.19,-,-0.06,-,-,-,-,28.45亿,8323.30万,权益型REITs,1.18%,93.41%,2.17
1464,DBV Technologies,DBVT,US,19.8,-,3.77%,-1.05/-,-,2.38,-,-,NASDAQ,-,11.72亿,-1.47亿,生物科技,0.31%,28.89%,6.95
1465,Dropbox,DBX,US,24.02,-,2.09%,1.89/11.27,-,0.5,-,-,-,-,57.32亿,5.08亿,信息技术服务,1.54%,121.40%,-
1466,Dakota Gold,DC,US,5.7,-,2.26%,-0.27/-,-,-0.7,-,-,-,-,7.61亿,-2953.87万,金属与采矿,0.80%,37.38%,6.76
1467,Docebo,DCBO,US,18.24,-,5.84%,1.31/12.55,-,3.46,-,-,-,-,4.71亿,3751.20万,软件,0.44%,41.02%,6.36
1468,DocGo,DCGO,US,0.718,-,9.45%,-1.84/-,-,4.36,-,-,-,-,7092.29万,-1.82亿,医疗保健服务,0.52%,41.92%,0.492
1469,Dauch,DCH,US,5.94,-,3.26%,-0.17/-,-,2.06,-,-,-,-,14.06亿,-1970.00万,汽车零配件,0.94%,69.53%,2.2
1470,唐纳森,DCI,US,88.96,http://www.donaldson.com/index.html,3.40%,1.78/27.22,"Donaldson Company, Inc., is a leading worldwide provider of filtration systems and replacement parts. Founded in 1915, Donaldson is a technology-driven company committed to satisfying customer needs for filtration solutions through innovative research and development. Donaldson serves customers in the industrial and engine markets, including dust collection, power generation, specialty filtration, compressed air purification, off-road equipment, industrial compressors, heavy trucks and light vehicles.",1.13,-,-,NYSE,-,103.03亿,2.06亿,机械制造,0.95%,87.58%,6.54
1471,杜科蒙,DCO,US,139.41,http://www.ducommun.com,6.53%,-2.27/-,"Ducommun is a leading technology company with design, development, manufacturing, integration, and test capabilities in the areas of missiles, space, sensor, simulations, complex electronic/mechanical assemblies, illuminated cockpit displays, RF systems and space qualified motion control devices.",-2.62,-,-,NYSE,-,20.89亿,-3393.80万,航空航天与国防,1.84%,89.75%,3.16
1472,迪募社区银行,DCOM,US,35.29,http://www.dime.com,5.43%,-/13.29,"The Dime Savings Bank of Williamsburgh delivers financial services of the highest quality by relying on traditional, time-honored principles like personal service and good, honest value.",-5.49,-,-,NASDAQ,-,15.49亿,3276.00万,商业银行,1.38%,85.69%,1.03
1473,Decoy,DCOY,US,5.425,-,6.00%,-129.1/-,-,0.09,-,-,-,-,288.59万,-1251.85万,制药,1.65%,0.66%,0.49
1474,迪卡斯,DCTH,US,10.84,http://www.delcath.com/,3.76%,0.08/138.3,"Delcath Systems (Nasdaq:DCTH) has developed a platform technology for chemosaturation that is designed to isolate specific organs or regions of the body from the general circulatory system, in order to deliver high dose chemotherapy or other therapeutic agents to a diseased organ or body region while at the same time reducing the potential systemic effect of toxicities.",1.88,-,-,NASDAQ,-,3.73亿,270.00万,医疗保健设备,0.66%,50.81%,3.36
1475,数字货币X,DCX,US,2.23,-,10.00%,-/-,-,-3.04,-,-,-,-,4362.12万,-4004.80万,汽车,0.25%,0.00%,-
1476,杜邦,DD,US,46.33,http://www.dupont.com,1.60%,-1.87/-,杜邦公司专注于科学及科技等产业，包括高性能材料、专业化学、医药及生物科技。公司通过各个业务单位在全球运营。在它的运营单位内，他们为不同市场制造及销售广泛系列的产品，包括交通、纺织、建筑、汽车、农业及杂交种子、营养保健、医药、包装及电器市场。,-0.09,-,302-774-1000,NYSE,"1007 Market Street Wilmington, DE 19898 United States",189.90亿,-7.79亿,化学制品,0.66%,78.41%,1.36
1477,日日煮,DDC,US,1.86,-,7.14%,-5.55/-,-,2.2,-,-,NYSE,-,8560.74万,-5100.81万,食品与日用品零售,0.44%,0.20%,2.24
1478,3D系统,DDD,US,2.26,http://www.3DSystems.com,4.98%,0.23/11.05,3D Systems Corporation 是一家三维立体打印机生产商，能够用塑料、树脂和金属等材料直接打印从吉他模型到玩具等各类产品。2011年年中从纳斯达克（原代码TDSC）转到纽约证券交易所。,2.26,-,-,NYSE,-,3.30亿,2988.30万,电脑与外围设备,1.66%,56.73%,1.37
1479,DoubleDown,DDI,US,8.95,-,1.82%,41.37/4.33,-,1.88,-,-,-,-,4.44亿,1.02亿,酒店餐饮与休闲,0.46%,416.20%,0.467
1480,叮咚买菜,DDL,US,2.58,-,4.21%,0.1/17.64,-,-1.15,-,-,-,-,5.59亿,3169.78万,食品与日用品零售,0.13%,23.04%,3.76
1481,Datadog,DDOG,US,129.48,-,4.14%,0.31/425.2,-,1.27,-,-,-,-,458.17亿,1.08亿,软件,1.00%,86.68%,12.28
1482,狄乐百货,DDS,US,595.2,http://www.dillards.com,3.49%,36.42/16.3,"Dillard's, Inc. ranks among the nation's largest fashion apparel, cosmetics and home furnishings retailers with annual revenues exceeding $6.2 billion. The Company focuses on delivering maximum fashion and value to its shoppers by offering compelling selections complemented by exceptional customer care. Dillard's stores offer a broad selection of merchandise and feature products from both national and exclusive brand sources. The Company operates 294 Dillard's locations and 14 clearance centers spanning 29 states, all with one nameplate - Dillard's.",-1.38,-,-,NYSE,-,92.95亿,5.70亿,多元化零售,0.71%,64.34%,5.23
1483,迪尔,DE,US,562.64,http://www.deere.com/,4.49%,2.43/31.57,约翰·迪尔公司于1837年成立。它由一家只有一个人的铁匠店发展为现今在全世界160多个国家销售，在全球拥有约37000位员工的集团公司。从1837年至今，公司一直遵循约翰迪尔的价值观：对产品质量、顾客服务、诚实经商的承诺，尊重个人贡献。通过持续不断的改进和有益的成长，公司努力为股东创造了价值。公司在建筑、森林、草坪和草皮培养等农业设备生产方面占主导地位。另外，公司也生产柴油机和其他工业动力设备，在信用卡、健康护理和专门技术方面提供产品和服务。,-4.95,-,-,NYSE,-,1519.73亿,6.56亿,机械制造,0.44%,73.00%,5.78
1484,东风政府物业,DEA,US,23.52,-,2.20%,0.27/83.84,-,1.51,-,-,NYSE,-,10.90亿,1300.30万,写字楼房地产投资信托,0.99%,72.98%,0.824
1485,Diversified Energy,DEC,US,15.48,-,1.54%,4.67/3.28,-,-0.77,-,-,-,-,11.20亿,3.41亿,石油与天然气,0.82%,77.63%,1.14
1486,戴克斯户外,DECK,US,108.53,http://www.deckers.com,1.80%,6.05/14.81,"Deckers Outdoor Corporation, with corporate offices in Goleta, CA, remains close to its origins. It is there, as a University of California, Santa Barbara student, that founder Doug Otto began producing sandals in 1973. Since then, Deckers has grown into a leading global company with locations on three continents and six footwear brands - Ahnu®, Mozo®, Simple®, Teva®, Tsubo,® and UGG® Australia.",0.76,-,-,NYSE,-,154.06亿,8.88亿,纺织服装与奢侈品,0.77%,96.99%,5.9
1487,Defi Technologies,DEFT,US,0.82,-,10.19%,0.18/5.1,-,5.81,-,-,-,-,3.18亿,6240.57万,综合金融服务,1.54%,11.69%,2.98
1488,道格拉斯艾美特,DEI,US,10.7,http://www.douglasemmett.com/,2.47%,0.09/110.2,"Douglas Emmett, Inc. (NYSE:DEI) is a premier provider of Class-A office properties and luxury apartment communities in Southern California and Honolulu.  With an office portfolio consisting of 58 Class-A properties (totaling approximately 14.6 million rentable square feet), and a residential portfolio comprised of nine premier apartment communities (totaling 2,868 units), Douglas Emmett offers prospective tenants a wide variety of immediate office and living solutions to fit any requirement.",1.61,-,-,NYSE,-,17.92亿,1626.70万,写字楼房地产投资信托,1.23%,101.57%,0.941
1489,戴尔科技,DELL,US,216.09,-,4.48%,8.79/23.51,-,1.86,-,-,-,-,1395.40亿,59.36亿,电脑与外围设备,1.53%,78.56%,-
1490,帝亚吉欧,DEO,US,79.29,http://www.diageo.com/,1.08%,0.9/18.28,英国帝亚吉欧集团(DEO)是全球最具规模的高级酒品公司、第一烈酒帝国、也是唯一一家同时经营烈酒、葡萄酒以及啤酒的集团公司。公司旗下拥有的知名品牌有世界第一伏特加Smirnoff（皇冠）、世界第一苏格兰威士忌JohnnieWalker（尊尼获加）、世界第一利口酒 Baileys（百利甜酒）、世界第一的黑啤Guinness（健力士）等。,-0.1,-,-,NYSE,-,441.34亿,19.95亿,饮料,0.11%,9.65%,3.8
1491,Journey Medical,DERM,US,5.15,http://www.dermira.com,3.70%,-0.47/-,"Dermira is a specialty biopharmaceutical company focused on bringing innovative and differentiated medical dermatology products to dermatologists and their patients. Our management team has extensive experience in product development and commercialization, having served in leadership roles at several leading dermatology companies. Our strategy is to leverage this experience to in-license, acquire, develop and commercialize products that we believe can be successful in the dermatology marketplace. Our portfolio of five product candidates targets significant market opportunities and includes three late-stage product candidates, Cimzia (certolizumab pegol), which we are developing in collaboration with UCB Pharma S.A., for the treatment of moderate-to-severe plaque psoriasis, DRM04, which we are developing for the treatment of hyperhidrosis, or excessive sweating, and DRM01, which we are developing for the treatment of acne.",0.39,S1/F1,-,NASDAQ,-,1.41亿,-1143.10万,制药,1.20%,56.09%,4.42
1492,Liberty Defense,DETX,US,4.62,-,5.14%,-/-,-,-1.07,-,-,-,-,2613.97万,-1051.02万,电子设备与仪器,3.90%,0.01%,-
1493,DevvStream,DEVS,US,0.303,-,18.18%,-0.98/-,-,-11.14,-,-,-,-,161.67万,-393.61万,商业服务与用品,44.43%,0.97%,-
1494,Defi Development,DFDV,US,4.32,-,8.17%,-4/-,-,-4.64,-,-,-,-,1.27亿,-7378.80万,软件,2.42%,18.40%,1.28
1495,Dream Finders Homes,DFH,US,15.21,-,2.34%,2.19/6.85,-,-1.17,-,-,-,-,13.96亿,2.04亿,耐用消费品,1.73%,85.60%,0.98
1496,Donnelley Financial,DFIN,US,50.49,-,2.25%,1.18/44.46,-,0,-,-,NYSE,-,14.40亿,3240.00万,资本市场,1.19%,97.32%,3.8
1497,Dragonfly Energy,DFLI,US,2.05,-,5.77%,-14.8/-,-,-1.44,-,-,-,-,2490.50万,-7080.80万,电子设备与仪器,1.87%,13.86%,2.16
1498,T3 Defense,DFNS,US,0.513,-,9.85%,8.45/0.247,-,-0.97,-,-,-,-,1940.35万,7854.90万,航空航天与国防,7.22%,3.68%,-
1499,Flaherty & Crumrine,DFP,US,20.85,-,1.28%,1.88/11.12,-,-0.81,-,-,-,-,4.28亿,3851.09万,资本市场,0.24%,25.93%,0.915
1500,DEFSEC Technologies,DFSC,US,2.27,-,16.43%,-11.33/-,-,6.57,-,-,-,-,452.55万,-691.23万,软件,9.27%,7.92%,0.808
1501,Definium,DFTX,US,22.48,-,7.45%,-2.06/-,-,-3.35,-,-,-,-,22.41亿,-1.84亿,制药,2.73%,68.06%,6.74
1502,达乐,DG,US,120.71,http://www.dollargeneral.com,2.31%,6.87/17.58,Dollar General为美国知名之连锁零售店，以低廉、货品优良见称。以供应日常的民生用品为主: 包括健康美容品、包装食物、清洁剂、家庭用品、文具、玩具、季节性货品、衣服及家用纺织品如毛巾及床单等。私募股本巨头KKR拥有公司85%的股份。,-1.11,-,-,NYSE,-,265.84亿,15.12亿,多元化零售,0.84%,99.10%,3.12
1503,多尼戈尔股份A,DGICA,US,17.73,-,3.16%,2.22/8.27,-,-0.06,-,-,NASDAQ,-,6.56亿,7934.07万,保险,0.46%,41.20%,1.02
1504,多尼戈尔股份B,DGICB,US,19.76,-,7.65%,2.22/9.22,-,4.66,-,-,NASDAQ,-,7.31亿,7934.07万,保险,0.37%,6.61%,1.14
1505,美国迪进国际,DGII,US,56.66,http://www.digi.com/,3.02%,0.31/50.22,"Digi International/MaxStream - Wireless Products Since 1999. Incorporated in 1999, MaxStream has become a leader providing wireless device networking solutions. Their most popular products include 900 MHz and 2.4 GHz embedded OEM RF modules, RS-232/485 RF Modems and USB RF Modems that allow products and systems to talk wirelessly to each other.",0.69,-,-,NASDAQ,-,21.31亿,1171.10万,通信设备,0.52%,98.34%,3.28
1506,Diginex,DGNX,US,0.472,-,10.20%,-0.03/-,-,-3.67,-,-,-,-,1.10亿,-580.58万,软件,1.98%,0.39%,10.04
1507,奎斯特诊疗,DGX,US,196.27,-,2.81%,2.27/21.22,-,-1.63,-,-,-,-,217.26亿,2.52亿,医疗保健服务,0.94%,95.74%,2.92
1508,Digi Power,DGXX,US,3.39,-,6.98%,-0.64/-,-,-1.45,-,-,-,-,2.37亿,-2835.62万,软件,2.19%,16.97%,1.92
1509,Definitive,DH,US,1.02,-,7.00%,-1.3/-,-,2,-,-,-,-,1.47亿,-1.39亿,软件,0.68%,86.87%,0.521
1510,Diversified,DHC,US,7.46,-,6.34%,-1.19/-,-,5.07,-,-,-,-,18.06亿,-2.86亿,医疗保健房地产投资信托,0.47%,78.55%,1.08
1511,BNY Mellon高收益策略,DHF,US,2.43,-,1.03%,0.19/11.62,-,0,-,-,NYSE,-,1.77亿,1368.13万,资本市场,0.52%,31.50%,0.871
1512,霍顿房屋,DHI,US,159.9,http://www.drhorton.com,3.04%,4.28/14.29,D.R. Horton （NYSE：DHI）是美国住宅建筑商；总部位于美国德克萨斯州沃思堡市。,-2.63,-,1-817-3908200,NYSE,-,453.44亿,12.43亿,耐用消费品,0.86%,86.61%,1.92
1513,丹纳赫,DHR,US,177.25,http://www.danaher.com,1.40%,1.45/34.01,丹纳赫公司，最初的名称为DMG，于1969年作为马萨诸塞州的房地产投资信托基金而被组建。公司设计、制造和销售专业的、医疗的、工业的和商业的产品和服务，这些产品和服务典型的特点是具有强大的品牌名称、创新的技术并占据主要市场地位。公司的业务由五个部分组成：测试与测量、环境、生命科学和诊断、牙科和工业技术。公司的研究开发，生产制造，销售，分销，服务和管理设施位于50多个国家。,-0.74,-,-,NYSE,-,1254.52亿,10.29亿,生命科学工具,0.99%,82.44%,2.37
1514,DHT控股,DHT,US,18.06,-,2.63%,1.31/13.78,-,1.52,-,-,NYSE,-,29.08亿,2.11亿,海运,1.51%,67.08%,2.57
1515,戴斯控股,DHX,US,2.74,-,5.40%,-0.3/-,"Dice Holdings, Inc.is a leading provider of specialized career websites for select professional communities.",-1.44,-,-,NYSE,-,1.20亿,-1351.00万,专业服务,0.33%,72.06%,1.27
1516,Credit Suisse High,DHY,US,1.76,-,2.22%,0.12/14.76,-,-2.22,-,-,AMEX,-,1.82亿,1235.11万,资本市场,0.94%,7.59%,0.823
1517,1stdibs.com,DIBS,US,5.45,-,4.15%,-0.38/-,-,-3.71,-,-,-,-,1.98亿,-1366.60万,多元化零售,0.40%,42.13%,2.12
1518,Dine Brands Global,DIN,US,28.31,-,3.35%,1.11/22.97,-,0.82,-,-,NYSE,-,3.67亿,1600.00万,酒店餐饮与休闲,1.43%,85.74%,-
1519,HF Sinclair,DINO,US,60.26,-,2.75%,3.08/18.76,-,1.21,-,-,-,-,108.63亿,5.79亿,石油与天然气,0.73%,89.20%,1.18
1520,Diodes,DIOD,US,104.4,-,6.96%,1.43/72.62,Diodes是一家标普低市值600指数(S&P SmallCap 600 Index)及罗素3000指数公司，是活跃于广泛的分立、逻辑及模拟半导体市场的全球领先的高质量特殊应用标准产品的制造商及供应商，服务于消费电子、计算机、通信、工业及汽车等不同市场。Diodes公司总部、物流中心及美国销售办事处位于美国德克萨斯州达拉斯市，并在世界各地设有销售及支持办事处,3.98,-,-,NASDAQ,-,48.03亿,6614.10万,半导体产品与设备,2.25%,96.94%,2.56
1521,迪士尼,DIS,US,102.6,http://www.disney.com,1.61%,1.34/14.83,"迪士尼(DIS)是全球最大的娱乐传媒帝国，公司的主要业务有四项：影视娱乐、媒体网络、主题公园和度假村和消费产品。
旗下品牌包括：美国广播公司(ABC)、ESPN。2006年，迪士尼以74亿美元收购皮克斯。",-1.01,-,1-818-5601000,NYSE,-,1817.58亿,24.02亿,娱乐,0.34%,74.98%,1.68
1522,AMCON Distributing,DIT,US,88.25,-,0.28%,-1.49/200.9,-,-1.01,-,-,AMEX,-,8613.45万,-138.15万,经销商,0.36%,10.32%,0.767
1523,每日期刊,DJCO,US,532.87,-,3.28%,-5.79/7.87,-,0.64,-,-,NASDAQ,-,7.34亿,-797.70万,媒体,2.64%,112.68%,1.92
1524,特朗普媒体科技,DJT,US,9.35,-,4.85%,-2.8/-,-,1.96,-,-,-,-,25.87亿,-7.12亿,软件,1.56%,20.28%,1.57
1525,Delek Us Holdings,DK,US,39.66,-,3.29%,-0.38/-,"Delek US Holdings is a diversified downstream energy company with operations in three primary business segments: petroleum refining, marketing & supply and convenience store retailing. Delek US is headquartered in Brentwood, Tennessee and employs more than 3,000 people across the eight states. The Company has been publicly traded on the New York Stock Exchange since 2006 under the ticker symbol ""DK"".",-0.4,-,-,NYSE,-,23.72亿,-2280.00万,石油与天然气,2.15%,109.38%,8.28
1526,黑瞳科技,DKI,US,0.464,-,6.48%,-0.52/-,-,0.22,-,-,-,-,1436.25万,-864.22万,软件,4.29%,1.23%,2.12
1527,Delek Logistics,DKL,US,50.41,-,2.85%,3.3/15.29,-,-2.12,-,-,NYSE,-,26.98亿,1.76亿,石油与天然气,0.26%,20.20%,442.2
1528,DraftKings,DKNG,US,23.18,-,8.06%,0.01/3097,-,4.56,-,-,-,-,114.91亿,371.00万,酒店餐饮与休闲,3.42%,86.91%,18.19
1529,迪克体育用品,DKS,US,225.91,-,2.78%,10.22/23.69,-,0.65,-,-,NYSE,-,201.16亿,8.49亿,专营零售,1.17%,104.27%,3.63
1530,杜比实验室,DLB,US,64.08,-,2.78%,0.56/25.45,-,1.78,-,-,NYSE,-,61.22亿,5332.70万,电子设备与仪器,0.65%,95.93%,2.36
1531,DLH Holdings,DLHC,US,6.02,-,4.39%,-0.09/-,-,-0.17,-,-,NASDAQ,-,8724.81万,-132.40万,专业服务,0.06%,70.58%,0.778
1532,Dynagas Lng,DLNG,US,3.94,-,2.01%,1.38/2.84,"Dynagas LNG Partners LP, through its subsidiaries, owns and operates liquefied natural gas (LNG) carriers. Its initial fleet consists of three LNG carriers operating under multi-year charters with BG Group and Gazprom.",-1.01,-,-,NYSE,-,1.43亿,5040.70万,海运,0.08%,9.63%,0.358
1533,DLocal,DLO,US,13.76,-,4.36%,0.68/20.62,-,3.38,-,-,-,-,40.58亿,1.97亿,综合金融服务,2.04%,60.36%,7.13
1534,Dolphin,DLPN,US,1.355,-,1.46%,-0.27/-,-,-1.09,-,-,-,-,1682.86万,-308.88万,娱乐,0.14%,3.38%,1.74
1535,数字房地产信托,DLR,US,200,-,4.40%,0.49/52.19,Digital Realty Trust is a publically traded company (NYSE: DLR) with investment grade ratings from all three major ratings agencies.,0,-,-,NYSE,-,697.85亿,1.69亿,专业房地产投资信托,1.35%,100.10%,3.08
1536,德卢斯控股,DLTH,US,3.6,-,9.80%,-0.47/-,-,3.75,-,-,NASDAQ,-,1.37亿,-1638.80万,纺织服装与奢侈品,1.44%,15.39%,0.812
1537,美元树,DLTR,US,103.75,http://www.dollartree.com,3.25%,6.23/15.96,Dollar Tree是美国折扣零售巨头，类似国内的“一元店”,1.47,-,-,NASDAQ,-,204.70亿,12.82亿,多元化零售,1.26%,107.28%,5.45
1538,豪华,DLX,US,30.33,-,2.02%,1.83/16.88,Today's Deluxe is the indispensable partner for unleashing the growth potential of small businesses and financial institutions.,0.2,-,-,NYSE,-,13.86亿,8210.00万,综合金融服务,0.61%,85.90%,2.04
1539,Delixy Holdings,DLXY,US,0.723,-,13.28%,-/9.17,-,-5.86,-,-,-,-,1182.11万,45.00万,石油与天然气,2.23%,0.16%,15.38
1540,DoubleLine,DLY,US,14.18,-,1.05%,1.03/13.79,-,-0.28,-,-,-,-,6.88亿,4991.63万,资本市场,0.35%,27.02%,0.889
1541,Destra Multi,DMA,US,7.88,-,3.65%,0.58/7.96,-,-0.88,-,-,-,-,7063.03万,517.15万,资本市场,0.48%,47.12%,0.768
1542,Drugs Made In,DMAA,US,10.545,-,0.14%,0.19/59.85,-,0.05,-,-,-,-,3.56亿,594.06万,资本市场,0.00%,68.39%,1.53
1543,Diamedica,DMAC,US,6.33,-,5.63%,-0.7/-,-,1.77,-,-,-,-,3.41亿,-3276.60万,生物科技,0.49%,22.31%,6.08
1544,Bny Mellon Municipal,DMB,US,10.88,-,1.28%,-0.88/-,-,-0.46,-,-,NYSE,-,2.00亿,-1624.67万,资本市场,0.21%,43.30%,0.987
1545,Drugs America,DMII,US,10.01,-,0.10%,0.16/152.3,-,0,-,-,-,-,6.38亿,418.70万,资本市场,0.45%,54.26%,1.31
1546,多尔切斯特,DMLP,US,28.11,-,3.69%,1.16/24.55,-,-2.06,-,-,NASDAQ,-,13.56亿,5525.20万,石油与天然气,0.67%,21.05%,4.44
1547,Western Asset Mortga,DMO,US,10.97,-,1.33%,1.2/9.15,-,0.73,-,-,NYSE,-,1.25亿,1369.74万,资本市场,0.12%,20.56%,0.939
1548,Damora Therapeutics,DMRA,US,24.75,-,7.34%,3.98/-,-,-2.64,-,-,-,-,14.93亿,-2.10亿,制药,0.30%,1.86%,-
1549,数字标识,DMRC,US,7.29,-,9.27%,-1.49/-,"Digimarc is a leading innovator and technology provider, enabling businesses and governments worldwide to enrich everyday living with the means to identify all forms of content, including audio, video, imagery and even certain objects.",4.74,-,-,NASDAQ,-,1.61亿,-3230.90万,软件,0.70%,58.80%,4.01
1550,Ginkgo Bioworks,DNA,US,7.87,-,3.83%,-5.64/-,-,2.21,-,-,-,-,4.87亿,-3.13亿,生物科技,1.19%,65.04%,0.958
1551,Denali,DNLI,US,19.87,-,3.98%,-2.97/-,-,2.16,-,-,-,-,31.53亿,-5.13亿,生物科技,0.83%,96.30%,3.11
1552,DynamixIII,DNMX,US,9.98,-,0.00%,0.06/341.2,-,0.1,-,-,-,-,2.68亿,78.48万,资本市场,-,71.90%,-
1553,丹尼森矿业,DNN,US,3.8,-,5.61%,-0.17/-,"Denison Mines Corp. (Denison) is engaged in uranium exploration, development, mining and milling with uranium mining projects in both the United States and Canada and development projects in Canada, the United States, Zambia and Mongolia. Denison’s assets include an interest in two of the four licensed conventional uranium mills in North America, with its 100% interest of the White Mesa mill in Utah and its 22.5% interest of the McClean Lake mill in Saskatchewan. Denison also produces vanadium as a co-product from some of its mines in Colorado and Utah and recycles uranium-bearing waste materials, referred to as alternate feed materials, for the recovery of uranium, alone or in combination with other metals, at its White Mesa mill. The Company’s 70% interest in the Gurvan Saihan Joint Venture in Mongolia is held through Denison Mines (Mongolia) Ltd, which is wholly owned by Denison Mines (Bermuda) I Ltd., a wholly-owned subsidiary of the Company.",-3.06,-,-,AMEX,-,34.36亿,-1.58亿,石油与天然气,2.37%,51.94%,12.79
1554,DNOW,DNOW,US,12.71,-,3.98%,-0.76/-,-,2.17,-,-,NYSE,-,23.63亿,-8900.00万,贸易与经销,1.49%,100.22%,1.06
1555,DNP Select Income,DNP,US,10.72,-,1.44%,1.15/9.38,"The DNP Select Income Fund Inc. (NYSE: DNP) is a diversified, closed-end management investment company that first offered its common stock to the public in January 1987. The Fund's primary investment objectives are current income and long-term growth of income. Capital appreciation is a secondary objective. DNP has outstanding RP, APS and bank loan to leverage the common stockholders' investment.",-0.65,-,-,NYSE,-,40.40亿,4.31亿,资本市场,0.16%,10.51%,1.15
1556,Dianthus,DNTH,US,87.39,-,3.85%,-4.2/-,-,-2.71,-,-,-,-,47.58亿,-1.62亿,制药,0.77%,91.02%,9.64
1557,Krispy Kreme,DNUT,US,3.93,-,5.24%,-3.04/-,-,2.88,-,-,-,-,6.77亿,-5.16亿,食品与日用品零售,1.84%,43.41%,1.04
1558,Healthpeak,DOC,US,16.43,-,2.29%,0.1/162,-,0.12,-,-,NYSE,-,114.23亿,7051.30万,医疗保健房地产投资信托,1.19%,95.98%,1.52
1559,DigitalOcean,DOCN,US,95.21,-,4.25%,2.83/38.17,-,-0.68,-,-,-,-,98.97亿,2.59亿,信息技术服务,1.96%,69.21%,-
1560,Doximity,DOCS,US,24.01,-,3.54%,0.94/18.53,-,3.63,-,-,-,-,44.35亿,1.77亿,软件,4.39%,92.15%,4.53
1561,DocuSign,DOCU,US,46.22,-,3.03%,1.53/29.05,-,2.67,-,-,-,-,89.80亿,3.09亿,信息技术服务,1.24%,88.17%,4.68
1562,多尼斯,DOGZ,US,1.24,-,3.97%,-0.29/-,-,-1.59,-,-,-,-,1799.32万,-517.50万,耐用消费品,0.62%,2.17%,0.189
1563,都乐食品,DOLE,US,15.12,-,1.98%,0.54/28.04,-,-0.13,-,-,-,-,14.39亿,5131.90万,食品,0.85%,70.38%,1.05
1564,Dominari Holdings,DOMH,US,2.89,-,4.15%,-1.57/-,-,0,-,-,-,-,6535.38万,-2243.50万,资本市场,2.06%,6.84%,0.942
1565,Domo,DOMO,US,3.89,-,10.39%,-1.45/-,-,2.37,-,-,-,-,1.76亿,-5934.20万,软件,2.06%,89.03%,-
1566,BRP,DOO,US,56.78,-,6.74%,2.94/19.47,-,1.48,-,-,NYSE,-,41.87亿,2.15亿,汽车零配件,1.79%,80.58%,0.0000
1567,Dorman,DORM,US,111.19,-,3.26%,6.69/16.38,-,1.68,-,-,NASDAQ,-,33.45亿,2.04亿,汽车零配件,0.79%,89.04%,2.26
1568,Douglas Elliman,DOUG,US,1.96,-,5.35%,0.17/11.36,-,4.81,-,-,-,-,1.73亿,1521.90万,房地产管理和开发Ⅲ,0.39%,51.30%,0.94
1569,都福,DOV,US,224.78,-,3.02%,1.77/27.48,-,-1.48,-,-,NYSE,-,302.69亿,2.38亿,机械制造,0.84%,90.46%,4.04
1570,陶氏,DOW,US,38.66,http://www.dow.com,4.05%,-0.74/-,"陶氏化学(Dow Chemical Co , NYSE:DOW)是一家多元的化学公司；公司业务涉及食品、药品、油漆、包装，以及个人护理产品、建筑、家居和汽车等众多领域。",0.34,-,-,NYSE,-,278.64亿,-5.33亿,化学制品,1.77%,68.90%,1.83
1571,Amdocs,DOX,US,65.31,-,2.15%,1.46/12.37,-,0.82,-,-,NASDAQ,-,70.25亿,1.55亿,信息技术服务,1.15%,96.62%,2.05
1572,斗鱼,DOYU,US,4.99,-,0.90%,-0.14/-,-,0.2,-,-,-,-,1.51亿,-415.87万,互动媒体与服务,0.02%,22.62%,0.53
1573,Duff & Phelps Utilit,DPG,US,14.72,-,1.09%,2.31/6.34,-,0.2,-,-,NYSE,-,5.37亿,8466.60万,资本市场,0.12%,30.34%,1.03
1574,Draganfly,DPRO,US,5.87,-,7.79%,-1.06/-,-,-4.71,-,-,-,-,2.14亿,-1675.98万,航空航天与国防,3.55%,6.82%,3.04
1575,达美乐比萨,DPZ,US,367.83,-,2.29%,17.69/20.56,"Founded in 1960, Domino's Pizza is the recognized world leader in pizza delivery operating a network of company-owned and franchise-owned stores in the United States and international markets. Domino's Pizza's Vision illustrates a company of exceptional people on a mission to be the best pizza delivery company in the world. To learn more about Domino's, please visit the links we've provided at the top of the page.",-1.22,-,-,NYSE,-,123.69亿,6.02亿,酒店餐饮与休闲,4.13%,99.37%,-
