,co_name,symbol,market,asset,co_site,amplitude,pe_s_d,co_intro,sc,prospectus,co_tel,exchange,co_addr,mv,equity,industry,turnover,oo,pb_MRQ
5039,Spring Valley IV,SVIV,US,9.94,-,0.00%,-/0.0000,-,-0.1,-,-,-,-,3.05亿,-,资本市场,-,-,0.0000
5040,希尔威,SVM,US,12.51,http://www.silvercorpmetals.com/,5.11%,-0.04/-,希尔威是一家在多伦多交易所和纽交所双板上市的加拿大注册的矿业公司，通过开发中国河南省洛宁县月亮沟的四个银铅锌矿，成为中国最大的原生白银精粉生产商。,3.05,S1/F1,8610-8587-1130,AMEX,Suite 601 – Building 1 China View Mansion  #A2 East GongTi Road,27.63亿,-922.20万,金属与采矿,1.21%,46.35%,3.89
5041,Savara,SVRA,US,5.12,-,5.06%,-0.53/-,-,3.64,-,-,NASDAQ,-,10.48亿,-1.19亿,生物科技,0.88%,100.21%,5.16
5042,Saver O,SVRE,US,3.86,-,17.09%,0.0000/-,-,-13.22,-,-,-,-,244.52万,-922.98万,软件,-,0.00%,0.637
5043,OceanPal,SVRN,US,8.83,-,3.39%,-/-,-,-2,-,-,-,-,1656.39万,-6520.00万,海运,0.37%,9.56%,0.224
5044,Savers Value Village,SVV,US,8.72,-,4.42%,0.14/59.72,-,2.83,-,-,-,-,13.52亿,2263.90万,多元化零售,1.83%,108.15%,3.1
5045,Smurfit WestRock,SW,US,39.96,-,2.15%,1.34/29.97,-,-1.38,-,-,-,-,209.49亿,6.99亿,容器与包装,0.86%,87.50%,1.14
5046,Stran,SWAG,US,1.56,-,10.50%,-0.04/-,-,-3.11,-,-,-,-,2915.66万,-74.70万,媒体,0.25%,9.38%,0.956
5047,Smith & Wesson,SWBI,US,15,-,2.11%,0.05/61.27,-,-0.99,-,-,-,-,6.67亿,225.90万,休闲设备与用品,0.96%,51.26%,1.84
5048,Latham Group,SWIM,US,6.01,-,1.66%,0.1/63.19,-,-0.17,-,-,-,-,7.03亿,1112.40万,耐用消费品,0.45%,96.09%,1.73
5049,史丹利百得,SWK,US,76.64,-,2.22%,2.66/29.61,-,0.83,-,-,NYSE,-,119.01亿,4.02亿,机械制造,1.14%,91.93%,1.31
5050,思佳讯,SWKS,US,63.65,-,3.31%,0.53/24.28,-,3.41,-,-,NASDAQ,-,95.73亿,7920.00万,半导体产品与设备,2.73%,102.61%,1.66
5051,Swarmer,SWMR,US,37.88,-,6.95%,-/-,-,-1.07,-,-,-,-,4.68亿,-852.93万,软件,6.01%,0.05%,51.54
5052,Swvl Holdings,SWVL,US,1.775,-,7.69%,0.12/13.47,-,-2.47,-,-,-,-,1768.67万,131.27万,软件,0.31%,0.24%,2.99
5053,Southwest Gas,SWX,US,90.46,-,1.67%,6.09/14.88,-,-0.06,-,-,NYSE,-,65.46亿,4.40亿,燃气,0.70%,92.29%,1.65
5054,Total Return,SWZ,US,6.08,-,0.66%,1.38/4.41,-,0.83,-,-,NYSE,-,7898.35万,1790.99万,资本市场,0.92%,62.89%,0.673
5055,SunCoke Energy,SXC,US,6.51,-,4.40%,-0.52/-,-,2.2,-,-,NYSE,-,5.52亿,-4420.00万,金属与采矿,1.39%,91.46%,0.925
5056,Standex,SXI,US,273.33,-,7.17%,1.43/61.48,-,-0.53,-,-,NYSE,-,33.12亿,1717.50万,机械制造,2.19%,100.98%,4.73
5057,森馨,SXT,US,123.15,-,19.16%,3.18/38.96,-,24.11,-,-,NYSE,-,52.40亿,1.34亿,化学制品,4.20%,99.13%,4.39
