ts_code,breakthrough_date,breakthrough_price,max_drawdown,max_gain,success,final_gain
sz300928,20250702,34.45,4.41,2.79,False,0.96
sz000061,20240919,5.45,1.28,20.55,True,14.5
sz301357,20260302,148.14,32.5,0.0,False,-21.22
sz001965,20260309,9.94,11.47,4.12,False,-10.46
sz300478,20240820,9.04,25.22,0.0,False,-20.69
sz000637,20240926,3.3,1.52,16.67,False,13.33
sz300703,20251105,27.01,13.11,5.55,False,-9.29
sz002324,20240930,9.18,17.21,4.36,False,-8.06
sz301066,20250624,15.07,1.39,9.82,False,6.17
sz001229,20250703,32.88,2.04,2.74,False,-0.94
sz000856,20250626,10.62,0.47,18.93,False,14.78
sz300265,20240807,7.82,19.69,0.26,False,-17.39
sz301486,20251205,91.85,0.0,41.06,True,41.06
sz300436,20240806,17.44,4.7,58.26,True,0.8
sz399410,20240927,1605.9,0.0,23.71,True,14.46
sz000679,20240805,3.43,22.45,9.91,False,-13.12
sz002539,20240926,7.37,0.0,16.96,False,4.88
sz301028,20250624,11.97,1.92,15.46,False,15.46
sz002197,20241017,4.12,0.0,22.09,True,13.11
sz300151,20240731,15.6,10.71,1.41,False,-9.68
sz300206,20240911,8.94,3.24,35.78,True,20.69
sz300132,20240808,3.82,10.21,0.0,False,-1.31
sz301618,20250630,59.65,3.47,2.41,False,1.07
sz301331,20260206,31.3,15.05,0.0,False,-10.35
sz002988,20251020,41.59,10.53,0.55,False,0.55
sz002514,20240902,5.29,22.12,9.45,False,-1.51
sz300248,20240903,6.77,5.32,59.08,True,32.05
sz200521,20250506,4.03,0.75,1.99,False,0.0
sz002620,20240926,2.79,0.0,36.2,True,36.2
sz002073,20240927,7.4,1.76,15.81,False,0.68
sz300454,20250624,89.88,4.04,14.6,False,14.15
sz000560,20240830,2.5,6.81,56.09,True,56.09
sz002420,20240923,5.11,2.74,28.38,True,22.5
sz300181,20240930,14.86,5.86,13.26,False,3.1
sz000900,20240925,3.58,0.28,18.72,False,9.22
sz300332,20240930,6.0,10.67,13.17,False,-6.5
sz399994,20240927,1262.04,0.0,27.07,True,20.18
sz300006,20240909,2.76,5.8,54.71,True,35.14
sz300655,20240927,7.28,0.0,51.13,True,29.69
sz002109,20241028,3.17,3.15,18.61,False,13.88
sz399673,20240926,1686.83,0.0,51.62,True,28.4
sz002958,20260209,3.22,5.28,0.0,False,-0.62
sz300857,20250812,85.66,1.58,34.26,True,34.26
sz300298,20240806,23.6,6.44,4.74,False,-3.26
sz300679,20250819,48.93,6.68,15.35,False,15.35
sz301228,20251106,28.12,7.5,63.9,True,58.46
sz002739,20240930,12.49,18.25,0.0,False,-2.48
sz002916,20260401,231.0,8.66,23.71,True,22.54
sz000099,20240927,17.09,4.51,53.24,True,42.01
sz300819,20250905,25.12,12.3,3.9,False,0.04
sz002210,20240806,1.54,10.39,0.0,False,-3.9
sz301152,20250924,27.06,2.59,23.06,True,23.06
sz002777,20240927,15.46,0.0,44.76,True,36.09
sz300148,20240815,3.01,20.93,0.0,False,-7.97
sz002614,20240927,5.89,0.51,12.73,False,0.0
sz000554,20240927,5.22,0.0,18.76,False,18.76
sz002047,20240927,1.75,1.14,76.57,True,76.57
sz002373,20240930,9.43,6.15,9.97,False,5.41
sz399409,20240927,3731.02,0.0,29.16,True,22.58
sz301556,20250703,91.66,5.35,32.72,True,31.87
sz000987,20240924,5.21,0.0,40.49,True,32.62
sz399393,20240924,2669.22,0.0,31.33,True,25.95
sz300106,20240823,7.0,14.29,42.57,True,-5.86
sz002009,20240930,12.78,11.03,5.79,False,3.76
sz301518,20260408,39.99,1.23,6.2,False,5.03
sz002817,20240927,5.69,1.23,11.95,False,5.45
sz300251,20240930,8.7,14.25,6.9,False,-3.1
sz002297,20240731,6.37,16.33,2.2,False,-14.76
sz002991,20251110,59.68,2.23,3.9,False,1.47
sz301328,20250627,41.82,3.44,3.56,False,3.56
sz300957,20251009,45.81,7.86,2.95,False,-7.84
sz000863,20240926,3.62,4.97,9.67,False,8.56
sz300398,20240731,12.3,17.0,0.16,False,-14.07
