ts_code,trade_date,close,pe,pb,ps,total_mv,circ_mv
000001.SZ,20030708,11.3,50.8712,5.6074,5.8327,2198779.0284,1592579.0205
000001.SZ,20030707,11.16,50.2409,5.5379,5.7605,2171537.5183,1572847.9529
000001.SZ,20030704,11.2,50.421,5.5577,5.7811,2179320.8069,1578485.4008
000001.SZ,20030703,11.31,50.9162,5.6123,5.8379,2200724.8505,1593988.3824
000001.SZ,20030702,11.3,50.8712,5.6074,5.8327,2198779.0284,1592579.0205
000001.SZ,20030701,11.08,49.8808,5.4982,5.7192,2155970.9411,1561573.0572
000001.SZ,20030630,11.09,49.9258,5.5032,5.7243,2157916.7632,1562982.4192
000001.SZ,20030627,11.11,50.0158,5.5131,5.7347,2161808.4075,1565801.1431
000001.SZ,20030626,11.37,51.1863,5.6421,5.8689,2212399.7834,1602444.5542
000001.SZ,20030625,11.34,51.0513,5.6272,5.8534,2206562.317,1598216.4683
000001.SZ,20030624,11.5,51.7716,5.7066,5.936,2237695.4714,1620766.2598
000001.SZ,20030623,11.41,51.3664,5.662,5.8895,2220183.072,1608082.0021
000001.SZ,20030620,11.46,51.5915,5.6868,5.9153,2229912.1828,1615128.8119
000001.SZ,20030619,11.61,52.2668,5.7612,5.9928,2259099.515,1636269.2414
000001.SZ,20030618,11.86,53.3922,5.8853,6.1218,2307745.0687,1671503.2905
000001.SZ,20030617,11.85,53.3472,5.8803,6.1166,2305799.2466,1670093.9285
000001.SZ,20030616,11.99,53.9775,5.9498,6.1889,2333040.7567,1689824.996
000001.SZ,20030613,12.14,54.6527,6.0242,6.2663,2362228.0889,1710965.4255
000001.SZ,20030612,11.98,53.9324,5.9448,6.1837,2331094.9345,1688415.6341
000001.SZ,20030611,12.12,54.5627,6.0143,6.256,2358336.4446,1708146.7016
000001.SZ,20030610,11.92,53.6623,5.915,6.1528,2319420.0016,1679959.4623
000001.SZ,20030609,11.87,53.4372,5.8902,6.127,2309690.8909,1672912.6525
000001.SZ,20030606,12.04,54.2026,5.9746,6.2147,2342769.8674,1696871.8059
000001.SZ,20030605,12.3,55.373,6.1036,6.3489,2393361.2433,1733515.217
000001.SZ,20030604,12.48,56.1834,6.1929,6.4418,2428386.042,1758883.7323
000001.SZ,20030603,12.28,55.283,6.0937,6.3386,2389469.599,1730696.493
000001.SZ,20030602,12.43,55.9583,6.1681,6.416,2418656.9312,1751836.9225
000001.SZ,20030530,12.55,56.4985,6.2277,6.478,2442006.797,1768749.2661
000001.SZ,20030529,12.64,56.9037,6.2723,6.5244,2459519.1963,1781433.5238
000001.SZ,20030528,12.61,56.7686,6.2574,6.5089,2453681.7299,1777205.4379
000001.SZ,20030527,12.72,57.2638,6.312,6.5657,2475085.7735,1792708.4195
000001.SZ,20030526,12.73,57.3089,6.317,6.5709,2477031.5957,1794117.7814
000001.SZ,20030523,12.59,56.6786,6.2475,6.4986,2449790.0856,1774386.7139
000001.SZ,20030522,12.53,56.4085,6.2177,6.4676,2438115.1527,1765930.5421
000001.SZ,20030521,12.39,55.7782,6.1483,6.3954,2410873.6426,1746199.4746
000001.SZ,20030520,12.53,56.4085,6.2177,6.4676,2438115.1527,1765930.5421
000001.SZ,20030519,12.8,57.624,6.3517,6.607,2490652.3507,1803983.3152
000001.SZ,20030516,12.6,56.7236,6.2525,6.5038,2451735.9077,1775796.0759
000001.SZ,20030515,12.25,55.148,6.0788,6.3231,2383632.1325,1726468.4071
000001.SZ,20030514,12.07,54.3376,5.9895,6.2302,2348607.3338,1701099.8918
000001.SZ,20030513,11.96,53.8424,5.9349,6.1734,2327203.2902,1685596.9101
000001.SZ,20030512,12.59,56.6786,6.2475,6.4986,2449790.0856,1774386.7139
000001.SZ,20030430,12.43,55.9583,6.1681,6.416,2418656.9312,1751836.9225
000001.SZ,20030429,12.34,55.5531,6.1234,6.3696,2401144.5319,1739152.6648
000001.SZ,20030428,12.71,57.2188,6.307,6.5605,2473139.9514,1791299.0575
