ts_code,trade_date,close,pe,pb,ps,total_mv,circ_mv
600036.SH,20201019,39.99,10.8601,1.6852,3.7395,100854162.5584,82495148.7716
600036.SH,20201016,39.78,10.803,1.6764,3.7198,100324545.8008,82061940.9386
600036.SH,20201015,39.01,10.5939,1.6439,3.6478,98382617.6895,80473512.2175
600036.SH,20201014,38.05,10.3332,1.6035,3.558,95961512.5118,78493133.5523
600036.SH,20201013,37.79,10.2626,1.5925,3.5337,95305796.5262,77956780.9972
600036.SH,20201012,37.56,10.2002,1.5828,3.5122,94725740.0774,77482315.2753
600036.SH,20201009,36.18,9.8254,1.5247,3.3832,91245401.3844,74635520.9441
600036.SH,20200930,36.0,9.7765,1.5171,3.3663,90791444.1636,74264199.9444
600036.SH,20200929,36.31,9.8607,1.5301,3.3953,91573259.3772,74903697.2217
600036.SH,20200928,37.25,10.116,1.5697,3.4832,93943924.8637,76842817.998
600036.SH,20200925,37.18,10.097,1.5668,3.4767,93767385.9445,76698415.387
600036.SH,20200924,37.06,10.0644,1.5617,3.4655,93464747.7973,76450868.0539
600036.SH,20200923,37.5,10.1839,1.5803,3.5066,94574421.0038,77358541.6088
600036.SH,20200922,37.88,10.2871,1.5963,3.5421,95532775.1366,78142441.4971
600036.SH,20200921,38.6,10.4826,1.6266,3.6095,97348604.0199,79627725.4959
600036.SH,20200918,38.99,10.5885,1.6431,3.6459,98332177.9983,80432254.3287
600036.SH,20200917,37.87,10.2843,1.5959,3.5412,95507555.291,78121812.5526
600036.SH,20200916,38.06,10.3359,1.6039,3.559,95986732.3574,78513762.4968
600036.SH,20200915,37.9,10.2925,1.5971,3.544,95583214.8278,78183699.3859
600036.SH,20200914,37.35,10.1431,1.574,3.4926,94196123.3197,77049107.4423
600036.SH,20200911,37.24,10.1132,1.5693,3.4823,93918705.0181,76822189.0536
600036.SH,20200910,37.7,10.2382,1.5887,3.5253,95078817.9158,77771120.4973
600036.SH,20200909,37.6,10.211,1.5845,3.516,94826619.4598,77564831.053
600036.SH,20200908,37.59,10.2083,1.5841,3.515,94801399.6142,77544202.1086
600036.SH,20200907,36.79,9.991,1.5504,3.4402,92783811.9661,75893886.5543
600036.SH,20200904,36.8,9.9938,1.5508,3.4412,92809031.8117,75914515.4987
600036.SH,20200903,36.98,10.0426,1.5584,3.458,93262989.0325,76285836.4984
600036.SH,20200902,37.2,10.1024,1.6511,3.4786,93817825.6357,76739673.2759
600036.SH,20200901,37.42,10.1621,1.7668,3.4991,94372662.2389,77193510.0533
600036.SH,20200831,37.69,10.2355,1.6454,3.5244,95053598.0702,77750491.5529
600036.SH,20200828,38.45,10.4418,1.6786,3.5954,96970306.3358,79318291.3295
600036.SH,20200827,36.9,10.0209,1.6109,3.4505,93061230.2677,76120804.943
600036.SH,20200826,37.23,10.1105,1.6253,3.4814,93893485.1725,76801560.1092
600036.SH,20200825,37.58,10.2056,1.6406,3.5141,94776179.7686,77523573.1642
600036.SH,20200824,37.5,10.1839,1.6371,3.5066,94574421.0038,77358541.6088
600036.SH,20200821,37.77,10.2572,1.6489,3.5319,95255356.835,77915523.1083
600036.SH,20200820,37.52,10.1893,1.638,3.5085,94624860.695,77399799.4976
600036.SH,20200819,38.35,10.4147,1.6742,3.5861,96718107.8798,79112001.8852
600036.SH,20200818,38.85,10.5505,1.696,3.6329,97979100.1599,80143449.1067
600036.SH,20200817,39.05,10.6048,1.7047,3.6516,98483497.0719,80556027.9952
600036.SH,20200814,38.0,10.3196,1.6589,3.5534,95835413.2838,78389988.8302
600036.SH,20200813,37.33,10.1377,1.6297,3.4907,94145683.6285,77007849.5535
600036.SH,20200812,37.79,10.2626,1.6497,3.5337,95305796.5262,77956780.9972
600036.SH,20200811,37.54,10.1947,1.6388,3.5104,94675300.3862,77441057.3865
600036.SH,20200810,37.0,10.0481,1.6153,3.4599,93313428.7237,76327094.3873
600036.SH,20200807,36.61,9.9422,1.5982,3.4234,92329854.7453,75522565.5546
600036.SH,20200806,37.02,10.0535,1.6161,3.4617,93363868.4149,76368352.2762
600036.SH,20200805,36.3,9.858,1.5847,3.3944,91548039.5316,74883068.2773
600036.SH,20200804,36.68,9.9612,1.6013,3.4299,92506393.6645,75666968.1656
600036.SH,20200803,35.0,9.5049,1.5279,3.2728,88269459.6035,72201305.5015
600036.SH,20200731,34.8,9.4506,1.5192,3.2541,87765062.6915,71788726.6129
600036.SH,20200730,34.56,9.3854,1.5087,3.2317,87159786.3971,71293631.9466
600036.SH,20200729,35.07,9.5239,1.531,3.2794,88445998.5227,72345708.1125
600036.SH,20200728,34.58,9.3909,1.5096,3.2336,87210226.0883,71334889.8355
600036.SH,20200727,34.25,9.3013,1.4952,3.2027,86377971.1834,70654134.6693
600036.SH,20200724,34.6,9.3963,1.5105,3.2354,87260665.7795,71376147.7243
600036.SH,20200723,35.6,9.6679,1.5541,3.3289,89782650.3396,73439042.1672
600036.SH,20200722,36.44,9.896,1.5908,3.4075,91901117.37,75171873.4993
600036.SH,20200721,36.84,10.0046,1.6083,3.4449,92909911.1941,75997031.2764
600036.SH,20200720,37.27,10.1214,1.627,3.4851,93994364.5549,76884075.8869
600036.SH,20200717,36.08,9.7982,1.5751,3.3738,90993202.9284,74429231.4998
600036.SH,20200716,35.6,9.6679,1.5541,3.3289,89782650.3396,73439042.1672
600036.SH,20200715,35.86,9.7385,1.5655,3.3533,90438366.3252,73975394.7224
600036.SH,20200714,36.51,9.915,1.5939,3.414,92077656.2893,75316276.1103
600036.SH,20200713,37.3,10.1295,1.6283,3.4879,94070024.0917,76945962.7202
600036.SH,20200710,37.25,10.116,1.6262,3.4832,93943924.8637,76842817.998
600036.SH,20200709,39.91,10.8383,1.6556,3.732,100652403.7936,82330117.2161
600036.SH,20200708,40.5,10.9986,1.68,3.7871,102140374.6841,83547224.9375
600036.SH,20200707,41.06,11.1506,1.7033,3.8395,103552686.0377,84702445.8255
600036.SH,20200706,40.41,10.9741,1.6763,3.7787,101913396.0736,83361564.4376
600036.SH,20200703,36.74,9.9775,1.5241,3.4355,92657712.7381,75790741.8321
600036.SH,20200702,35.3,9.5864,1.4643,3.3009,89026054.9715,72820173.8344
600036.SH,20200701,34.79,9.4479,1.4432,3.2532,87739842.8459,71768097.6685
600036.SH,20200630,33.72,9.1573,1.3988,3.1531,85041319.3666,69560800.6146
600036.SH,20200629,33.64,9.1356,1.3955,3.1457,84839560.6018,69395769.0592
600036.SH,20200624,33.9,9.2062,1.4063,3.17,85495276.5874,69932121.6143
600036.SH,20200623,33.35,9.0568,1.3834,3.1185,84108185.0793,68797529.6707
600036.SH,20200622,33.5,9.0976,1.3897,3.1326,84486482.7634,69106963.8372
600036.SH,20200619,33.86,9.1953,1.4046,3.1662,85394397.205,69849605.8366
600036.SH,20200618,33.89,9.2035,1.4058,3.169,85470056.7418,69911492.6699
600036.SH,20200617,34.2,9.2877,1.4187,3.198,86251871.9554,70550989.9472
600036.SH,20200616,34.14,9.2714,1.4162,3.1924,86100552.8818,70427216.2806
600036.SH,20200615,33.57,9.1166,1.3926,3.1391,84663021.6826,69251366.4482
600036.SH,20200612,34.5,9.3691,1.4311,3.2261,87008467.3235,71169858.2801
600036.SH,20200611,34.47,9.361,1.4299,3.2233,86932807.7866,71107971.4468
600036.SH,20200610,35.34,9.5973,1.466,3.3046,89126934.3539,72902689.6121
600036.SH,20200609,35.53,9.6489,1.4739,3.3224,89606111.4204,73294639.5562
600036.SH,20200608,35.67,9.6869,1.4797,3.3355,89959189.2588,73583444.7782
600036.SH,20200605,35.24,9.5701,1.4618,3.2953,88874735.8979,72696400.1678
600036.SH,20200604,35.15,9.5457,1.4581,3.2869,88647757.2875,72510739.6679
600036.SH,20200603,35.22,9.5647,1.461,3.2934,88824296.2067,72655142.2789
600036.SH,20200602,35.04,9.5158,1.4535,3.2766,88370338.9859,72283821.2792
600036.SH,20200601,34.82,9.4561,1.4444,3.256,87815502.3827,71829984.5018
600036.SH,20200529,33.82,9.1845,1.4029,3.1625,85293517.8226,69767090.0589
600036.SH,20200528,34.22,9.2931,1.4195,3.1999,86302311.6466,70592247.836
600036.SH,20200527,33.43,9.0786,1.3868,3.126,84309943.8441,68962561.2261
600036.SH,20200526,33.43,9.0786,1.3868,3.126,84309943.8441,68962561.2261
600036.SH,20200525,33.09,8.9862,1.3727,3.0942,83452469.0937,68261177.1156
600036.SH,20200522,33.63,9.1329,1.3951,3.1447,84814340.7562,69375140.1147
600036.SH,20200521,34.73,9.4316,1.4407,3.2476,87588523.7723,71644324.0019
600036.SH,20200520,34.68,9.418,1.4386,3.2429,87462424.5443,71541179.2798
600036.SH,20200519,34.27,9.3067,1.4216,3.2046,86428410.8746,70695392.5582
600036.SH,20200518,33.8,9.179,1.4021,3.1606,85243078.1314,69725832.17
600036.SH,20200515,33.85,9.1926,1.4042,3.1653,85369177.3594,69828976.8922
600036.SH,20200514,33.93,9.2144,1.4075,3.1728,85570936.1242,69994008.4476
600036.SH,20200513,34.54,9.38,1.4328,3.2298,87109346.7059,71252374.0578
600036.SH,20200512,34.59,9.3936,1.4349,3.2345,87235445.9339,71355518.7799
600036.SH,20200511,34.96,9.4941,1.4502,3.2691,88168580.2211,72118789.7238
600036.SH,20200508,34.97,9.4968,1.4506,3.27,88193800.0667,72139418.6682
600036.SH,20200507,34.45,9.3556,1.4291,3.2214,86882368.0954,71066713.5579
600036.SH,20200506,34.63,9.4045,1.4365,3.2382,87336325.3163,71438034.5576
600036.SH,20200430,35.09,9.5294,1.4556,3.2813,88496438.2139,72386966.0014
600036.SH,20200429,35.02,9.5104,1.53,3.2747,88319899.2947,72242563.3904
600036.SH,20200428,33.86,9.1953,1.4794,3.1662,85394397.205,69849605.8366
600036.SH,20200427,33.58,9.1193,1.4671,3.1401,84688241.5282,69271995.3926
600036.SH,20200424,32.51,8.8287,1.4204,3.04,81989718.0489,67064698.3387
600036.SH,20200423,32.69,8.8776,1.4282,3.0568,82443675.2697,67436019.3384
600036.SH,20200422,32.73,8.8885,1.43,3.0606,82544554.6521,67518535.1161
600036.SH,20200421,32.65,8.8667,1.4265,3.0531,82342795.8873,67353503.5607
600036.SH,20200420,32.9,8.9346,1.4374,3.0765,82973292.0273,67869227.1714
600036.SH,20200417,32.86,8.9238,1.4357,3.0727,82872412.6449,67786711.3937
600036.SH,20200416,32.1,8.7174,1.4025,3.0017,80955704.3792,66218911.6171
600036.SH,20200415,32.42,8.8043,1.4165,3.0316,81762739.4384,66879037.8388
600036.SH,20200414,32.71,8.883,1.4291,3.0587,82494114.9609,67477277.2273
600036.SH,20200413,31.93,8.6712,1.395,2.9858,80526967.004,65868219.5618
600036.SH,20200410,32.1,8.7174,1.4025,3.0017,80955704.3792,66218911.6171
600036.SH,20200409,32.3,8.7717,1.4112,3.0204,81460101.2912,66631490.5057
600036.SH,20200408,32.22,8.75,1.4077,3.0129,81258342.5264,66466458.9502
600036.SH,20200407,32.52,8.8314,1.4208,3.0409,82014937.8945,67085327.2831
600036.SH,20200403,32.15,8.731,1.4047,3.0063,81081803.6072,66322056.3392
600036.SH,20200402,32.34,8.7826,1.413,3.0241,81560980.6736,66714006.2834
600036.SH,20200401,32.13,8.7255,1.4038,3.0045,81031363.916,66280798.4504
600036.SH,20200331,32.28,8.7663,1.4103,3.0185,81409661.6,66590232.6168
600036.SH,20200330,32.65,8.8667,1.4265,3.0531,82342795.8873,67353503.5607
600036.SH,20200327,32.72,8.8858,1.4296,3.0596,82519334.8065,67497906.1717
600036.SH,20200326,32.72,8.8858,1.4296,3.0596,82519334.8065,67497906.1717
600036.SH,20200325,32.49,8.8233,1.4195,3.0381,81939278.3576,67023440.4498
600036.SH,20200324,31.51,8.5572,1.3767,2.9465,79467733.4888,65001803.8958
600036.SH,20200323,30.16,8.1905,1.3177,2.8203,76063054.3326,62216896.3979
600036.SH,20200320,31.04,9.7173,1.2803,3.1495,78282400.7455,64032243.5076
600036.SH,20200319,29.31,9.1757,1.209,2.974,73919367.4565,60463436.1214
600036.SH,20200318,30.82,9.6484,1.2713,3.1272,77727564.1423,63578406.7302
600036.SH,20200317,31.73,9.9333,1.3088,3.2195,80022570.092,65455640.6732
600036.SH,20200316,31.67,9.9145,1.3063,3.2134,79871251.0184,65331867.0066
600036.SH,20200313,33.41,10.4592,1.3781,3.39,84259504.1529,68921303.3373
600036.SH,20200312,34.16,10.694,1.409,3.4661,86150992.573,70468474.1695
600036.SH,20200311,34.45,10.7848,1.421,3.4955,86882368.0954,71066713.5579
600036.SH,20200310,34.68,10.8568,1.4305,3.5188,87462424.5443,71541179.2798
600036.SH,20200309,34.18,10.7003,1.4099,3.4681,86201432.2642,70509732.0583
600036.SH,20200306,35.41,11.0853,1.4606,3.5929,89303473.2731,73047092.2231
600036.SH,20200305,36.23,11.342,1.4944,3.6761,91371500.6124,74738665.6663
600036.SH,20200304,34.78,10.8881,1.4346,3.529,87714623.0003,71747468.7241
600036.SH,20200303,34.62,10.838,1.428,3.5127,87311105.4707,71417405.6132
600036.SH,20200302,34.75,10.8787,1.4334,3.5259,87638963.4635,71685581.8908
600036.SH,20200228,34.2,10.7065,1.4107,3.4701,86251871.9554,70550989.9472
600036.SH,20200227,35.22,11.0259,1.4528,3.5736,88824296.2067,72655142.2789
600036.SH,20200226,34.83,10.9038,1.4367,3.5341,87840722.2283,71850613.4462
600036.SH,20200225,34.63,10.8412,1.4284,3.5138,87336325.3163,71438034.5576
600036.SH,20200224,35.05,10.9726,1.4457,3.5564,88395558.8315,72304450.2236
600036.SH,20200221,35.64,11.1573,1.4701,3.6162,89883529.722,73521557.945
600036.SH,20200220,35.98,11.2638,1.4841,3.6507,90741004.4724,74222942.0555
600036.SH,20200219,35.53,11.1229,1.4655,3.6051,89606111.4204,73294639.5562
600036.SH,20200218,35.7,11.1761,1.4726,3.6223,90034848.7956,73645331.6115
600036.SH,20200217,36.17,11.3233,1.4919,3.67,91220181.5388,74614891.9997
600036.SH,20200214,35.64,11.1573,1.4701,3.6162,89883529.722,73521557.945
600036.SH,20200213,35.27,11.0415,1.4548,3.5787,88950395.4347,72758287.0011
600036.SH,20200212,35.6,11.1448,1.4684,3.6122,89782650.3396,73439042.1672
600036.SH,20200211,35.57,11.1354,1.4672,3.6091,89706990.8028,73377155.334
600036.SH,20200210,35.1,10.9883,1.4478,3.5615,88521658.0595,72407594.9458
600036.SH,20200207,35.42,11.0885,1.461,3.5939,89328693.1187,73067721.1675
600036.SH,20200206,35.75,11.1918,1.4746,3.6274,90160948.0236,73748476.3337
600036.SH,20200205,35.36,11.0697,1.4585,3.5878,89177374.0451,72943947.5009
600036.SH,20200204,35.35,11.0666,1.4581,3.5868,89152154.1995,72923318.5565
600036.SH,20200203,35.03,10.9664,1.4449,3.5543,88345119.1403,72263192.3348
600036.SH,20200123,36.81,11.5236,1.5183,3.735,92834251.6573,75935144.4431
600036.SH,20200122,37.82,11.8398,1.56,3.8374,95381456.063,78018667.8305
600036.SH,20200121,37.79,11.8304,1.5588,3.8344,95305796.5262,77956780.9972
600036.SH,20200120,38.31,11.9932,1.5802,3.8872,96617228.4974,79029486.1075
600036.SH,20200117,37.93,11.8742,1.701,3.8486,95658874.3646,78245586.2192
600036.SH,20200116,37.96,11.8836,1.7024,3.8516,95734533.9014,78307473.0525
600036.SH,20200115,38.12,11.9337,1.7095,3.8679,96138051.431,78637536.1633
600036.SH,20200114,38.81,12.1497,1.7405,3.9379,97878220.7775,80060933.3289
600036.SH,20200113,39.1,12.2405,1.7535,3.9673,98609596.2999,80659172.7174
600036.SH,20200110,39.04,12.2217,1.7508,3.9612,98458277.2263,80535399.0508
600036.SH,20200109,38.9,12.1779,1.7445,3.947,98105199.3879,80246593.8288
600036.SH,20200108,38.41,12.0245,1.7226,3.8973,96869426.9534,79235775.5518
600036.SH,20200107,39.15,12.2562,1.7557,3.9724,98735695.5279,80762317.4395
600036.SH,20200106,39.24,12.2843,1.7598,3.9815,98962674.1383,80947977.9394
600036.SH,20200103,39.4,12.3344,1.7669,3.9978,99366191.6679,81278041.0503
600036.SH,20200102,38.88,12.1716,1.7436,3.945,98054759.6967,80205335.94
600036.SH,20191231,37.58,11.7647,1.6853,3.8131,94776179.7686,77523573.1642
600036.SH,20191230,37.83,11.8429,1.6965,3.8385,95406675.9086,78039296.7749
600036.SH,20191227,37.86,11.8523,1.6979,3.8415,95482335.4454,78101183.6082
600036.SH,20191226,38.1,11.9275,1.7086,3.8658,96087611.7398,78596278.2745
600036.SH,20191225,37.79,11.8304,1.6947,3.8344,95305796.5262,77956780.9972
600036.SH,20191224,38.01,11.8993,1.7046,3.8567,95860633.1294,78410617.7746
600036.SH,20191223,37.4,11.7083,1.6773,3.7948,94322222.5477,77152252.1645
600036.SH,20191220,37.54,11.7521,1.6835,3.809,94675300.3862,77441057.3865
600036.SH,20191219,37.77,11.8242,1.6939,3.8324,95255356.835,77915523.1083
600036.SH,20191218,37.99,11.893,1.7037,3.8547,95810193.4382,78369359.8858
600036.SH,20191217,37.5,11.7396,1.6817,3.805,94574421.0038,77358541.6088
600036.SH,20191216,37.28,11.6708,1.6719,3.7826,94019584.4005,76904704.8313
600036.SH,20191213,37.5,11.7396,1.6817,3.805,94574421.0038,77358541.6088
600036.SH,20191212,36.4,11.3953,1.6324,3.6934,91800237.9876,75089357.7216
600036.SH,20191211,36.4,11.3953,1.6324,3.6934,91800237.9876,75089357.7216
600036.SH,20191210,36.12,11.3076,1.6199,3.6649,91094082.3108,74511747.2775
600036.SH,20191209,36.27,11.3546,1.6266,3.6802,91472379.9948,74821181.444
600036.SH,20191206,36.41,11.3984,1.6329,3.6944,91825457.8332,75109986.666
600036.SH,20191205,36.38,11.389,1.6315,3.6913,91749798.2964,75048099.8327
600036.SH,20191204,36.28,11.3577,1.627,3.6812,91497599.8404,74841810.3884
600036.SH,20191203,36.46,11.414,1.6351,3.6994,91951557.0612,75213131.3881
600036.SH,20191202,36.11,11.3045,1.6194,3.6639,91068862.4652,74491118.3331
600036.SH,20191129,36.03,11.2794,1.6158,3.6558,90867103.7004,74326086.7777
600036.SH,20191128,36.63,11.4673,1.6427,3.7167,92380294.4365,75563823.4434
600036.SH,20191127,36.65,11.4735,1.6436,3.7187,92430734.1277,75605081.3323
600036.SH,20191126,36.0,11.27,1.6145,3.6528,90791444.1636,74264199.9444
600036.SH,20191125,36.58,11.4516,1.6405,3.7116,92254195.2085,75460678.7213
600036.SH,20191122,36.23,11.342,1.6248,3.6761,91371500.6124,74738665.6663
600036.SH,20191121,36.44,11.4078,1.6342,3.6974,91901117.37,75171873.4993
600036.SH,20191120,36.58,11.4516,1.6405,3.7116,92254195.2085,75460678.7213
600036.SH,20191119,37.52,11.7459,1.6826,3.807,94624860.695,77399799.4976
600036.SH,20191118,37.5,11.7396,1.6817,3.805,94574421.0038,77358541.6088
600036.SH,20191115,36.83,11.5299,1.6517,3.737,92884691.3485,75976402.332
600036.SH,20191114,36.74,11.5017,1.6477,3.7279,92657712.7381,75790741.8321
600036.SH,20191113,37.0,11.5831,1.6593,3.7542,93313428.7237,76327094.3873
600036.SH,20191112,37.2,11.6457,1.6683,3.7745,93817825.6357,76739673.2759
600036.SH,20191111,37.31,11.6801,1.6732,3.7857,94095243.9373,76966591.6646
600036.SH,20191108,37.75,11.8179,1.693,3.8303,95204917.1438,77874265.2195
600036.SH,20191107,38.16,11.9462,1.7113,3.8719,96238930.8134,78720051.9411
600036.SH,20191106,38.15,11.9431,1.7109,3.8709,96213710.9678,78699422.9966
600036.SH,20191105,37.66,11.7897,1.6889,3.8212,94977938.5334,77688604.7196
600036.SH,20191104,37.18,11.6394,1.6674,3.7725,93767385.9445,76698415.387
600036.SH,20191101,36.6,11.4579,1.6414,3.7137,92304634.8997,75501936.6101
600036.SH,20191031,35.5,11.1135,1.592,3.602,89530451.8836,73232752.723
600036.SH,20191030,35.41,11.0853,1.7507,3.5929,89303473.2731,73047092.2231
600036.SH,20191029,36.15,11.317,1.7872,3.668,91169741.8476,74573634.1108
